"","Gene1","Gene2"
"645","Gene 23","Gene 17"
"646","Gene 23","Gene 19"
"647","Gene 23","Gene 20"
"648","Gene 23","Gene 24"
"649","Gene 23","Gene 25"
"650","Gene 23","Gene 28"
"651","Gene 23","Gene 34"
"652","Gene 23","Gene 36"
"653","Gene 23","Gene 41"
"654","Gene 23","Gene 42"
"655","Gene 23","Gene 44"
"656","Gene 23","Gene 45"
"657","Gene 23","Gene 47"
"658","Gene 23","Gene 58"
"659","Gene 23","Gene 61"
"660","Gene 23","Gene 62"
"661","Gene 23","Gene 63"
"662","Gene 23","Gene 65"
"663","Gene 23","Gene 67"
"664","Gene 23","Gene 70"
"665","Gene 23","Gene 71"
"666","Gene 23","Gene 72"
"667","Gene 23","Gene 75"
"668","Gene 23","Gene 82"
"669","Gene 23","Gene 84"
"670","Gene 23","Gene 85"
"671","Gene 23","Gene 87"
"672","Gene 23","Gene 92"
"673","Gene 23","Gene 96"
"674","Gene 23","Gene 97"
"675","Gene 24","Gene 2"
"676","Gene 24","Gene 4"
"677","Gene 24","Gene 5"
"678","Gene 24","Gene 9"
"679","Gene 24","Gene 12"
"680","Gene 24","Gene 14"
"681","Gene 24","Gene 15"
"682","Gene 24","Gene 19"
"683","Gene 24","Gene 20"
"684","Gene 24","Gene 23"
"685","Gene 24","Gene 25"
"686","Gene 24","Gene 26"
"687","Gene 24","Gene 28"
"688","Gene 24","Gene 29"
"689","Gene 24","Gene 30"
"690","Gene 24","Gene 34"
"691","Gene 24","Gene 41"
"692","Gene 24","Gene 46"
"693","Gene 24","Gene 47"
"694","Gene 24","Gene 49"
"695","Gene 24","Gene 51"
"696","Gene 24","Gene 60"
"697","Gene 24","Gene 67"
"698","Gene 24","Gene 68"
"699","Gene 24","Gene 70"
"700","Gene 24","Gene 74"
"701","Gene 24","Gene 78"
"702","Gene 24","Gene 79"
"703","Gene 24","Gene 83"
"704","Gene 24","Gene 84"
"705","Gene 24","Gene 85"
"706","Gene 24","Gene 90"
"707","Gene 24","Gene 92"
"708","Gene 25","Gene 5"
"709","Gene 25","Gene 7"
"710","Gene 25","Gene 10"
"711","Gene 25","Gene 11"
"712","Gene 25","Gene 12"
"713","Gene 25","Gene 16"
"714","Gene 25","Gene 18"
"715","Gene 25","Gene 20"
"716","Gene 25","Gene 23"
"717","Gene 25","Gene 24"
"718","Gene 25","Gene 26"
"719","Gene 25","Gene 27"
"720","Gene 25","Gene 28"
"721","Gene 25","Gene 37"
"722","Gene 25","Gene 38"
"723","Gene 25","Gene 46"
"724","Gene 25","Gene 48"
"725","Gene 25","Gene 49"
"726","Gene 25","Gene 55"
"727","Gene 25","Gene 57"
"728","Gene 25","Gene 62"
"729","Gene 25","Gene 67"
"730","Gene 25","Gene 78"
"731","Gene 25","Gene 79"
"732","Gene 25","Gene 83"
"733","Gene 25","Gene 84"
"734","Gene 25","Gene 86"
"735","Gene 25","Gene 88"
"736","Gene 25","Gene 89"
"737","Gene 25","Gene 100"
"738","Gene 26","Gene 2"
"739","Gene 26","Gene 5"
"740","Gene 26","Gene 7"
"741","Gene 26","Gene 9"
"742","Gene 26","Gene 17"
"743","Gene 26","Gene 19"
"744","Gene 26","Gene 20"
"745","Gene 26","Gene 22"
"746","Gene 26","Gene 24"
"747","Gene 26","Gene 25"
"748","Gene 26","Gene 27"
"749","Gene 26","Gene 30"
"750","Gene 26","Gene 35"
"751","Gene 26","Gene 39"
"752","Gene 26","Gene 41"
"753","Gene 26","Gene 42"
"754","Gene 26","Gene 43"
"755","Gene 26","Gene 45"
"756","Gene 26","Gene 49"
"757","Gene 26","Gene 53"
"758","Gene 26","Gene 54"
"759","Gene 26","Gene 62"
"760","Gene 26","Gene 63"
"761","Gene 26","Gene 65"
"762","Gene 26","Gene 68"
"763","Gene 26","Gene 69"
"764","Gene 26","Gene 72"
"765","Gene 26","Gene 74"
"766","Gene 26","Gene 77"
"767","Gene 26","Gene 80"
"768","Gene 26","Gene 95"
"769","Gene 26","Gene 99"
"770","Gene 27","Gene 8"
"771","Gene 27","Gene 9"
"772","Gene 27","Gene 12"
"773","Gene 27","Gene 15"
"774","Gene 27","Gene 16"
"775","Gene 27","Gene 17"
"776","Gene 27","Gene 20"
"777","Gene 27","Gene 22"
"778","Gene 27","Gene 25"
"779","Gene 27","Gene 26"
"780","Gene 27","Gene 36"
"781","Gene 27","Gene 38"
"782","Gene 27","Gene 41"
"783","Gene 27","Gene 50"
"784","Gene 27","Gene 56"
"785","Gene 27","Gene 62"
"786","Gene 27","Gene 68"
"787","Gene 27","Gene 71"
"788","Gene 27","Gene 72"
"789","Gene 27","Gene 74"
"790","Gene 27","Gene 76"
"791","Gene 27","Gene 78"
"792","Gene 27","Gene 80"
"793","Gene 27","Gene 81"
"794","Gene 27","Gene 83"
"795","Gene 27","Gene 87"
"796","Gene 27","Gene 92"
"797","Gene 27","Gene 93"
"798","Gene 27","Gene 95"
"799","Gene 28","Gene 4"
"800","Gene 28","Gene 6"
"801","Gene 28","Gene 7"
"802","Gene 28","Gene 8"
"803","Gene 28","Gene 9"
"804","Gene 28","Gene 15"
"805","Gene 28","Gene 21"
"806","Gene 28","Gene 23"
"807","Gene 28","Gene 24"
"808","Gene 28","Gene 25"
"809","Gene 28","Gene 33"
"810","Gene 28","Gene 38"
"811","Gene 28","Gene 40"
"812","Gene 28","Gene 44"
"813","Gene 28","Gene 50"
"814","Gene 28","Gene 51"
"815","Gene 28","Gene 55"
"816","Gene 28","Gene 57"
"817","Gene 28","Gene 62"
"818","Gene 28","Gene 63"
"819","Gene 28","Gene 64"
"820","Gene 28","Gene 65"
"821","Gene 28","Gene 73"
"822","Gene 28","Gene 78"
"823","Gene 28","Gene 81"
"824","Gene 28","Gene 91"
"825","Gene 28","Gene 94"
"826","Gene 28","Gene 95"
"827","Gene 28","Gene 98"
"828","Gene 29","Gene 1"
"829","Gene 29","Gene 3"
"830","Gene 29","Gene 5"
"831","Gene 29","Gene 8"
"832","Gene 29","Gene 12"
"833","Gene 29","Gene 14"
"834","Gene 29","Gene 15"
"835","Gene 29","Gene 20"
"836","Gene 29","Gene 24"
"837","Gene 29","Gene 30"
"838","Gene 29","Gene 31"
"839","Gene 29","Gene 33"
"840","Gene 29","Gene 35"
"841","Gene 29","Gene 37"
"842","Gene 29","Gene 39"
"843","Gene 29","Gene 42"
"844","Gene 29","Gene 50"
"845","Gene 29","Gene 58"
"846","Gene 29","Gene 59"
"847","Gene 29","Gene 60"
"848","Gene 29","Gene 61"
"849","Gene 29","Gene 70"
"850","Gene 29","Gene 72"
"851","Gene 29","Gene 76"
"852","Gene 29","Gene 80"
"853","Gene 29","Gene 88"
"854","Gene 29","Gene 89"
"855","Gene 29","Gene 90"
"856","Gene 29","Gene 92"
"857","Gene 29","Gene 93"
"858","Gene 29","Gene 96"
"859","Gene 29","Gene 97"
"860","Gene 29","Gene 99"
"861","Gene 30","Gene 8"
"862","Gene 30","Gene 16"
"863","Gene 30","Gene 19"
"864","Gene 30","Gene 21"
"865","Gene 30","Gene 24"
"866","Gene 30","Gene 26"
"867","Gene 30","Gene 29"
"868","Gene 30","Gene 31"
"869","Gene 30","Gene 32"
"870","Gene 30","Gene 33"
"871","Gene 30","Gene 36"
"872","Gene 30","Gene 38"
"873","Gene 30","Gene 39"
