"","Gene1","Gene2"
"645","Gene 34","Gene 31"
"646","Gene 34","Gene 32"
"647","Gene 34","Gene 37"
"648","Gene 34","Gene 42"
"649","Gene 34","Gene 52"
"650","Gene 34","Gene 56"
"651","Gene 34","Gene 63"
"652","Gene 34","Gene 68"
"653","Gene 34","Gene 73"
"654","Gene 34","Gene 80"
"655","Gene 34","Gene 83"
"656","Gene 34","Gene 85"
"657","Gene 34","Gene 87"
"658","Gene 34","Gene 89"
"659","Gene 34","Gene 98"
"660","Gene 35","Gene 2"
"661","Gene 35","Gene 7"
"662","Gene 35","Gene 12"
"663","Gene 35","Gene 13"
"664","Gene 35","Gene 14"
"665","Gene 35","Gene 18"
"666","Gene 35","Gene 19"
"667","Gene 35","Gene 29"
"668","Gene 35","Gene 32"
"669","Gene 35","Gene 33"
"670","Gene 35","Gene 36"
"671","Gene 35","Gene 40"
"672","Gene 35","Gene 49"
"673","Gene 35","Gene 53"
"674","Gene 35","Gene 55"
"675","Gene 35","Gene 60"
"676","Gene 35","Gene 67"
"677","Gene 35","Gene 68"
"678","Gene 35","Gene 70"
"679","Gene 35","Gene 72"
"680","Gene 35","Gene 85"
"681","Gene 35","Gene 88"
"682","Gene 35","Gene 91"
"683","Gene 35","Gene 95"
"684","Gene 35","Gene 98"
"685","Gene 36","Gene 1"
"686","Gene 36","Gene 2"
"687","Gene 36","Gene 4"
"688","Gene 36","Gene 5"
"689","Gene 36","Gene 7"
"690","Gene 36","Gene 15"
"691","Gene 36","Gene 18"
"692","Gene 36","Gene 23"
"693","Gene 36","Gene 30"
"694","Gene 36","Gene 31"
"695","Gene 36","Gene 35"
"696","Gene 36","Gene 39"
"697","Gene 36","Gene 40"
"698","Gene 36","Gene 51"
"699","Gene 36","Gene 53"
"700","Gene 36","Gene 59"
"701","Gene 36","Gene 76"
"702","Gene 36","Gene 77"
"703","Gene 36","Gene 78"
"704","Gene 36","Gene 90"
"705","Gene 36","Gene 95"
"706","Gene 36","Gene 97"
"707","Gene 36","Gene 100"
"708","Gene 37","Gene 6"
"709","Gene 37","Gene 9"
"710","Gene 37","Gene 13"
"711","Gene 37","Gene 25"
"712","Gene 37","Gene 32"
"713","Gene 37","Gene 34"
"714","Gene 37","Gene 40"
"715","Gene 37","Gene 45"
"716","Gene 37","Gene 48"
"717","Gene 37","Gene 50"
"718","Gene 37","Gene 58"
"719","Gene 37","Gene 62"
"720","Gene 37","Gene 77"
"721","Gene 37","Gene 78"
"722","Gene 37","Gene 79"
"723","Gene 38","Gene 3"
"724","Gene 38","Gene 8"
"725","Gene 38","Gene 10"
"726","Gene 38","Gene 12"
"727","Gene 38","Gene 14"
"728","Gene 38","Gene 25"
"729","Gene 38","Gene 27"
"730","Gene 38","Gene 28"
"731","Gene 38","Gene 39"
"732","Gene 38","Gene 40"
"733","Gene 38","Gene 42"
"734","Gene 38","Gene 44"
"735","Gene 38","Gene 52"
"736","Gene 38","Gene 60"
"737","Gene 38","Gene 62"
"738","Gene 38","Gene 67"
"739","Gene 38","Gene 70"
"740","Gene 38","Gene 75"
"741","Gene 38","Gene 80"
"742","Gene 38","Gene 83"
"743","Gene 38","Gene 88"
"744","Gene 38","Gene 92"
"745","Gene 38","Gene 95"
"746","Gene 38","Gene 97"
"747","Gene 39","Gene 10"
"748","Gene 39","Gene 19"
"749","Gene 39","Gene 26"
"750","Gene 39","Gene 30"
"751","Gene 39","Gene 36"
"752","Gene 39","Gene 38"
"753","Gene 39","Gene 42"
"754","Gene 39","Gene 45"
"755","Gene 39","Gene 54"
"756","Gene 39","Gene 57"
"757","Gene 39","Gene 61"
"758","Gene 39","Gene 62"
"759","Gene 39","Gene 67"
"760","Gene 39","Gene 68"
"761","Gene 39","Gene 70"
"762","Gene 39","Gene 71"
"763","Gene 39","Gene 83"
"764","Gene 39","Gene 93"
"765","Gene 40","Gene 7"
"766","Gene 40","Gene 10"
"767","Gene 40","Gene 28"
"768","Gene 40","Gene 33"
"769","Gene 40","Gene 35"
"770","Gene 40","Gene 36"
"771","Gene 40","Gene 37"
"772","Gene 40","Gene 38"
"773","Gene 40","Gene 46"
"774","Gene 40","Gene 52"
"775","Gene 40","Gene 55"
"776","Gene 40","Gene 67"
"777","Gene 40","Gene 69"
"778","Gene 40","Gene 71"
"779","Gene 40","Gene 79"
"780","Gene 40","Gene 80"
"781","Gene 40","Gene 86"
"782","Gene 40","Gene 98"
"783","Gene 41","Gene 1"
"784","Gene 41","Gene 2"
"785","Gene 41","Gene 3"
"786","Gene 41","Gene 4"
"787","Gene 41","Gene 7"
"788","Gene 41","Gene 24"
"789","Gene 41","Gene 26"
"790","Gene 41","Gene 27"
"791","Gene 41","Gene 31"
"792","Gene 41","Gene 33"
"793","Gene 41","Gene 46"
"794","Gene 41","Gene 49"
"795","Gene 41","Gene 50"
"796","Gene 41","Gene 58"
"797","Gene 41","Gene 61"
"798","Gene 41","Gene 63"
"799","Gene 41","Gene 73"
"800","Gene 41","Gene 74"
"801","Gene 41","Gene 79"
"802","Gene 41","Gene 80"
"803","Gene 41","Gene 82"
"804","Gene 41","Gene 83"
"805","Gene 41","Gene 90"
"806","Gene 41","Gene 94"
"807","Gene 42","Gene 8"
"808","Gene 42","Gene 13"
"809","Gene 42","Gene 15"
"810","Gene 42","Gene 16"
"811","Gene 42","Gene 18"
"812","Gene 42","Gene 23"
"813","Gene 42","Gene 26"
"814","Gene 42","Gene 29"
"815","Gene 42","Gene 34"
"816","Gene 42","Gene 38"
"817","Gene 42","Gene 39"
"818","Gene 42","Gene 45"
"819","Gene 42","Gene 51"
"820","Gene 42","Gene 55"
"821","Gene 42","Gene 60"
"822","Gene 42","Gene 77"
"823","Gene 42","Gene 82"
"824","Gene 42","Gene 84"
"825","Gene 42","Gene 89"
"826","Gene 42","Gene 94"
"827","Gene 42","Gene 95"
"828","Gene 43","Gene 14"
"829","Gene 43","Gene 26"
"830","Gene 43","Gene 31"
"831","Gene 43","Gene 33"
"832","Gene 43","Gene 46"
"833","Gene 43","Gene 47"
"834","Gene 43","Gene 50"
"835","Gene 43","Gene 52"
"836","Gene 43","Gene 57"
"837","Gene 43","Gene 60"
"838","Gene 43","Gene 64"
"839","Gene 43","Gene 70"
"840","Gene 43","Gene 83"
"841","Gene 43","Gene 84"
"842","Gene 43","Gene 87"
"843","Gene 43","Gene 89"
"844","Gene 43","Gene 94"
"845","Gene 43","Gene 96"
"846","Gene 44","Gene 2"
"847","Gene 44","Gene 6"
"848","Gene 44","Gene 8"
"849","Gene 44","Gene 10"
"850","Gene 44","Gene 21"
"851","Gene 44","Gene 23"
"852","Gene 44","Gene 28"
"853","Gene 44","Gene 38"
"854","Gene 44","Gene 47"
"855","Gene 44","Gene 52"
"856","Gene 44","Gene 55"
"857","Gene 44","Gene 58"
"858","Gene 44","Gene 64"
"859","Gene 44","Gene 66"
"860","Gene 44","Gene 68"
"861","Gene 44","Gene 71"
"862","Gene 44","Gene 76"
"863","Gene 44","Gene 77"
"864","Gene 44","Gene 85"
"865","Gene 44","Gene 87"
"866","Gene 44","Gene 89"
"867","Gene 44","Gene 99"
"868","Gene 45","Gene 1"
"869","Gene 45","Gene 6"
"870","Gene 45","Gene 8"
"871","Gene 45","Gene 10"
"872","Gene 45","Gene 12"
"873","Gene 45","Gene 21"
