"","Gene1","Gene2"
"70","Gene 15","Gene 28"
"71","Gene 15","Gene 95"
"72","Gene 16","Gene 9"
"73","Gene 16","Gene 32"
"74","Gene 16","Gene 46"
"75","Gene 16","Gene 95"
"76","Gene 16","Gene 97"
"77","Gene 17","Gene 2"
"78","Gene 17","Gene 8"
"79","Gene 17","Gene 14"
"80","Gene 17","Gene 26"
"81","Gene 17","Gene 55"
"82","Gene 18","Gene 14"
"83","Gene 18","Gene 25"
"84","Gene 18","Gene 34"
"85","Gene 18","Gene 36"
"86","Gene 18","Gene 48"
"87","Gene 18","Gene 55"
"88","Gene 18","Gene 74"
"89","Gene 19","Gene 39"
"90","Gene 19","Gene 59"
"91","Gene 19","Gene 70"
"92","Gene 19","Gene 77"
"93","Gene 20","Gene 14"
"94","Gene 20","Gene 29"
"95","Gene 20","Gene 58"
"96","Gene 20","Gene 66"
"97","Gene 20","Gene 71"
"98","Gene 20","Gene 91"
"99","Gene 21","Gene 44"
"100","Gene 21","Gene 50"
"101","Gene 21","Gene 65"
"102","Gene 21","Gene 78"
"103","Gene 21","Gene 94"
"104","Gene 22","Gene 13"
"105","Gene 22","Gene 55"
"106","Gene 22","Gene 57"
"107","Gene 22","Gene 81"
"108","Gene 22","Gene 86"
"109","Gene 22","Gene 91"
"110","Gene 23","Gene 36"
"111","Gene 23","Gene 61"
"112","Gene 23","Gene 65"
"113","Gene 23","Gene 67"
"114","Gene 23","Gene 75"
"115","Gene 23","Gene 84"
"116","Gene 23","Gene 87"
"117","Gene 23","Gene 96"
"118","Gene 23","Gene 97"
"119","Gene 24","Gene 5"
"120","Gene 24","Gene 9"
"121","Gene 24","Gene 28"
"122","Gene 24","Gene 34"
"123","Gene 24","Gene 70"
"124","Gene 24","Gene 78"
"125","Gene 24","Gene 84"
"126","Gene 25","Gene 12"
"127","Gene 25","Gene 18"
"128","Gene 25","Gene 27"
"129","Gene 25","Gene 38"
"130","Gene 25","Gene 46"
"131","Gene 25","Gene 48"
"132","Gene 25","Gene 62"
"133","Gene 25","Gene 100"
"134","Gene 26","Gene 2"
"135","Gene 26","Gene 17"
"136","Gene 26","Gene 49"
"137","Gene 26","Gene 68"
"138","Gene 26","Gene 80"
"139","Gene 26","Gene 95"
"140","Gene 27","Gene 25"
"141","Gene 27","Gene 41"
"142","Gene 27","Gene 78"
"143","Gene 27","Gene 83"
"144","Gene 28","Gene 4"
"145","Gene 28","Gene 15"
"146","Gene 28","Gene 24"
"147","Gene 28","Gene 38"
"148","Gene 28","Gene 50"
"149","Gene 28","Gene 64"
"150","Gene 28","Gene 98"
"151","Gene 29","Gene 20"
"152","Gene 29","Gene 61"
"153","Gene 29","Gene 72"
"154","Gene 29","Gene 88"
"155","Gene 29","Gene 92"
"156","Gene 29","Gene 93"
"157","Gene 29","Gene 97"
"158","Gene 30","Gene 36"
"159","Gene 30","Gene 76"
"160","Gene 30","Gene 78"
"161","Gene 31","Gene 8"
"162","Gene 31","Gene 14"
"163","Gene 31","Gene 34"
"164","Gene 31","Gene 63"
"165","Gene 31","Gene 73"
"166","Gene 31","Gene 81"
"167","Gene 32","Gene 16"
"168","Gene 32","Gene 68"
"169","Gene 32","Gene 90"
"170","Gene 32","Gene 91"
"171","Gene 32","Gene 99"
"172","Gene 33","Gene 1"
"173","Gene 33","Gene 35"
"174","Gene 33","Gene 84"
"175","Gene 33","Gene 86"
"176","Gene 34","Gene 12"
"177","Gene 34","Gene 18"
"178","Gene 34","Gene 24"
"179","Gene 34","Gene 31"
"180","Gene 34","Gene 63"
"181","Gene 34","Gene 73"
"182","Gene 34","Gene 80"
"183","Gene 35","Gene 12"
"184","Gene 35","Gene 13"
"185","Gene 35","Gene 33"
"186","Gene 35","Gene 40"
"187","Gene 35","Gene 49"
"188","Gene 35","Gene 67"
"189","Gene 35","Gene 68"
"190","Gene 35","Gene 88"
"191","Gene 35","Gene 95"
"192","Gene 35","Gene 98"
"193","Gene 36","Gene 18"
"194","Gene 36","Gene 23"
"195","Gene 36","Gene 30"
"196","Gene 36","Gene 39"
"197","Gene 36","Gene 40"
"198","Gene 36","Gene 51"
"199","Gene 36","Gene 76"
"200","Gene 36","Gene 97"
"201","Gene 37","Gene 79"
"202","Gene 38","Gene 12"
"203","Gene 38","Gene 14"
"204","Gene 38","Gene 25"
"205","Gene 38","Gene 28"
"206","Gene 38","Gene 40"
"207","Gene 38","Gene 44"
"208","Gene 38","Gene 52"
"209","Gene 38","Gene 67"
"210","Gene 38","Gene 83"
"211","Gene 38","Gene 88"
"212","Gene 39","Gene 19"
"213","Gene 39","Gene 36"
"214","Gene 39","Gene 54"
"215","Gene 39","Gene 71"
"216","Gene 40","Gene 10"
"217","Gene 40","Gene 35"
"218","Gene 40","Gene 36"
"219","Gene 40","Gene 38"
"220","Gene 40","Gene 71"
"221","Gene 40","Gene 86"
"222","Gene 41","Gene 27"
"223","Gene 41","Gene 94"
"224","Gene 42","Gene 8"
"225","Gene 42","Gene 60"
"226","Gene 42","Gene 89"
"227","Gene 42","Gene 94"
"228","Gene 43","Gene 50"
"229","Gene 43","Gene 57"
"230","Gene 43","Gene 83"
"231","Gene 43","Gene 87"
"232","Gene 44","Gene 2"
"233","Gene 44","Gene 6"
"234","Gene 44","Gene 8"
"235","Gene 44","Gene 21"
"236","Gene 44","Gene 38"
"237","Gene 44","Gene 55"
"238","Gene 44","Gene 64"
"239","Gene 44","Gene 71"
"240","Gene 45","Gene 1"
"241","Gene 45","Gene 56"
"242","Gene 45","Gene 62"
"243","Gene 46","Gene 16"
"244","Gene 46","Gene 25"
"245","Gene 46","Gene 77"
"246","Gene 47","Gene 1"
"247","Gene 47","Gene 56"
"248","Gene 47","Gene 82"
"249","Gene 48","Gene 18"
"250","Gene 48","Gene 25"
"251","Gene 48","Gene 63"
"252","Gene 48","Gene 71"
"253","Gene 48","Gene 84"
"254","Gene 49","Gene 26"
"255","Gene 49","Gene 35"
"256","Gene 49","Gene 64"
"257","Gene 49","Gene 70"
"258","Gene 50","Gene 21"
"259","Gene 50","Gene 28"
"260","Gene 50","Gene 43"
"261","Gene 50","Gene 62"
"262","Gene 50","Gene 78"
"263","Gene 50","Gene 88"
"264","Gene 51","Gene 36"
"265","Gene 51","Gene 58"
"266","Gene 51","Gene 72"
"267","Gene 52","Gene 1"
"268","Gene 52","Gene 38"
"269","Gene 52","Gene 62"
"270","Gene 52","Gene 67"
"271","Gene 53","Gene 55"
"272","Gene 53","Gene 64"
"273","Gene 53","Gene 82"
"274","Gene 53","Gene 87"
"275","Gene 54","Gene 39"
"276","Gene 54","Gene 61"
"277","Gene 54","Gene 82"
"278","Gene 54","Gene 94"
"279","Gene 55","Gene 3"
"280","Gene 55","Gene 17"
"281","Gene 55","Gene 18"
"282","Gene 55","Gene 22"
"283","Gene 55","Gene 44"
"284","Gene 55","Gene 53"
"285","Gene 55","Gene 66"
"286","Gene 55","Gene 99"
"287","Gene 56","Gene 45"
"288","Gene 56","Gene 47"
"289","Gene 56","Gene 57"
"290","Gene 56","Gene 96"
"291","Gene 57","Gene 22"
"292","Gene 57","Gene 43"
"293","Gene 57","Gene 56"
"294","Gene 57","Gene 98"
"295","Gene 57","Gene 100"
"296","Gene 58","Gene 20"
"297","Gene 58","Gene 51"
"298","Gene 58","Gene 61"
"299","Gene 58","Gene 71"
"300","Gene 59","Gene 19"
"301","Gene 59","Gene 62"
"302","Gene 59","Gene 89"
"303","Gene 60","Gene 1"
"304","Gene 60","Gene 8"
"305","Gene 60","Gene 9"
"306","Gene 60","Gene 42"
"307","Gene 60","Gene 67"
"308","Gene 60","Gene 69"
"309","Gene 60","Gene 99"
"310","Gene 61","Gene 5"
"311","Gene 61","Gene 9"
"312","Gene 61","Gene 23"
"313","Gene 61","Gene 29"
"314","Gene 61","Gene 54"
"315","Gene 61","Gene 58"
"316","Gene 61","Gene 72"
"317","Gene 62","Gene 2"
"318","Gene 62","Gene 25"
"319","Gene 62","Gene 45"
"320","Gene 62","Gene 50"
"321","Gene 62","Gene 52"
"322","Gene 62","Gene 59"
"323","Gene 62","Gene 87"
"324","Gene 63","Gene 8"
"325","Gene 63","Gene 31"
"326","Gene 63","Gene 34"
"327","Gene 63","Gene 48"
"328","Gene 63","Gene 76"
"329","Gene 63","Gene 90"
"330","Gene 64","Gene 11"
"331","Gene 64","Gene 28"
"332","Gene 64","Gene 44"
"333","Gene 64","Gene 49"
"334","Gene 64","Gene 53"
"335","Gene 64","Gene 67"
"336","Gene 64","Gene 78"
"337","Gene 64","Gene 92"
"338","Gene 65","Gene 21"
"339","Gene 65","Gene 23"
"340","Gene 65","Gene 80"
"341","Gene 65","Gene 84"
"342","Gene 65","Gene 90"
"343","Gene 65","Gene 98"
"344","Gene 66","Gene 20"
"345","Gene 66","Gene 55"
"346","Gene 66","Gene 91"
"347","Gene 67","Gene 4"
"348","Gene 67","Gene 12"
"349","Gene 67","Gene 23"
"350","Gene 67","Gene 35"
"351","Gene 67","Gene 38"
"352","Gene 67","Gene 52"
"353","Gene 67","Gene 60"
"354","Gene 67","Gene 64"
"355","Gene 67","Gene 70"
"356","Gene 67","Gene 100"
"357","Gene 68","Gene 8"
"358","Gene 68","Gene 26"
"359","Gene 68","Gene 32"
"360","Gene 68","Gene 35"
"361","Gene 69","Gene 14"
"362","Gene 69","Gene 60"
"363","Gene 69","Gene 82"
"364","Gene 69","Gene 98"
"365","Gene 69","Gene 99"
"366","Gene 70","Gene 19"
"367","Gene 70","Gene 24"
"368","Gene 70","Gene 49"
"369","Gene 70","Gene 67"
"370","Gene 71","Gene 20"
"371","Gene 71","Gene 39"
"372","Gene 71","Gene 40"
"373","Gene 71","Gene 44"
"374","Gene 71","Gene 48"
"375","Gene 71","Gene 58"
"376","Gene 72","Gene 8"
"377","Gene 72","Gene 29"
"378","Gene 72","Gene 51"
"379","Gene 72","Gene 61"
"380","Gene 72","Gene 76"
"381","Gene 73","Gene 4"
"382","Gene 73","Gene 31"
"383","Gene 73","Gene 34"
"384","Gene 73","Gene 74"
"385","Gene 73","Gene 91"
"386","Gene 73","Gene 95"
"387","Gene 74","Gene 18"
"388","Gene 74","Gene 73"
"389","Gene 74","Gene 78"
"390","Gene 74","Gene 84"
"391","Gene 75","Gene 23"
"392","Gene 75","Gene 86"
"393","Gene 75","Gene 87"
"394","Gene 76","Gene 30"
"395","Gene 76","Gene 36"
"396","Gene 76","Gene 63"
"397","Gene 76","Gene 72"
"398","Gene 76","Gene 86"
"399","Gene 76","Gene 99"
"400","Gene 77","Gene 19"
"401","Gene 77","Gene 46"
"402","Gene 77","Gene 80"
"403","Gene 78","Gene 4"
"404","Gene 78","Gene 9"
"405","Gene 78","Gene 21"
"406","Gene 78","Gene 24"
"407","Gene 78","Gene 27"
"408","Gene 78","Gene 30"
"409","Gene 78","Gene 50"
"410","Gene 78","Gene 64"
"411","Gene 78","Gene 74"
"412","Gene 78","Gene 88"
"413","Gene 79","Gene 8"
"414","Gene 79","Gene 37"
"415","Gene 79","Gene 83"
"416","Gene 80","Gene 1"
"417","Gene 80","Gene 10"
"418","Gene 80","Gene 26"
"419","Gene 80","Gene 34"
"420","Gene 80","Gene 65"
"421","Gene 80","Gene 77"
"422","Gene 80","Gene 97"
"423","Gene 81","Gene 6"
"424","Gene 81","Gene 22"
"425","Gene 81","Gene 31"
"426","Gene 82","Gene 2"
"427","Gene 82","Gene 47"
"428","Gene 82","Gene 53"
"429","Gene 82","Gene 54"
"430","Gene 82","Gene 69"
"431","Gene 83","Gene 13"
"432","Gene 83","Gene 27"
"433","Gene 83","Gene 38"
"434","Gene 83","Gene 43"
"435","Gene 83","Gene 79"
"436","Gene 84","Gene 3"
"437","Gene 84","Gene 12"
"438","Gene 84","Gene 23"
"439","Gene 84","Gene 24"
"440","Gene 84","Gene 33"
"441","Gene 84","Gene 48"
"442","Gene 84","Gene 65"
"443","Gene 84","Gene 74"
"444","Gene 85","Gene 86"
"445","Gene 85","Gene 90"
"446","Gene 85","Gene 100"
"447","Gene 86","Gene 22"
"448","Gene 86","Gene 33"
"449","Gene 86","Gene 40"
"450","Gene 86","Gene 75"
"451","Gene 86","Gene 76"
"452","Gene 86","Gene 85"
"453","Gene 87","Gene 23"
"454","Gene 87","Gene 43"
"455","Gene 87","Gene 53"
"456","Gene 87","Gene 62"
"457","Gene 87","Gene 75"
"458","Gene 88","Gene 29"
"459","Gene 88","Gene 35"
"460","Gene 88","Gene 38"
"461","Gene 88","Gene 50"
"462","Gene 88","Gene 78"
"463","Gene 88","Gene 96"
"464","Gene 89","Gene 9"
"465","Gene 89","Gene 42"
"466","Gene 89","Gene 59"
"467","Gene 89","Gene 90"
"468","Gene 89","Gene 95"
"469","Gene 90","Gene 7"
"470","Gene 90","Gene 13"
"471","Gene 90","Gene 32"
"472","Gene 90","Gene 63"
"473","Gene 90","Gene 65"
"474","Gene 90","Gene 85"
"475","Gene 90","Gene 89"
"476","Gene 91","Gene 20"
"477","Gene 91","Gene 22"
"478","Gene 91","Gene 32"
"479","Gene 91","Gene 66"
"480","Gene 91","Gene 73"
"481","Gene 91","Gene 95"
"482","Gene 92","Gene 11"
"483","Gene 92","Gene 29"
"484","Gene 92","Gene 64"
"485","Gene 92","Gene 98"
"486","Gene 93","Gene 29"
"487","Gene 93","Gene 94"
"488","Gene 94","Gene 21"
"489","Gene 94","Gene 41"
"490","Gene 94","Gene 42"
"491","Gene 94","Gene 54"
"492","Gene 94","Gene 93"
"493","Gene 95","Gene 13"
"494","Gene 95","Gene 15"
"495","Gene 95","Gene 16"
"496","Gene 95","Gene 26"
"497","Gene 95","Gene 35"
"498","Gene 95","Gene 73"
"499","Gene 95","Gene 89"
"500","Gene 95","Gene 91"
"501","Gene 96","Gene 23"
"502","Gene 96","Gene 56"
"503","Gene 96","Gene 88"
"504","Gene 97","Gene 16"
"505","Gene 97","Gene 23"
"506","Gene 97","Gene 29"
"507","Gene 97","Gene 36"
"508","Gene 97","Gene 80"
"509","Gene 98","Gene 28"
"510","Gene 98","Gene 35"
"511","Gene 98","Gene 57"
"512","Gene 98","Gene 65"
"513","Gene 98","Gene 69"
"514","Gene 98","Gene 92"
"515","Gene 99","Gene 32"
"516","Gene 99","Gene 55"
"517","Gene 99","Gene 60"
"518","Gene 99","Gene 69"
"519","Gene 99","Gene 76"
"520","Gene 100","Gene 7"
"521","Gene 100","Gene 25"
"522","Gene 100","Gene 57"
"523","Gene 100","Gene 67"
"524","Gene 100","Gene 85"
