"","Gene 1","Gene 2","Gene 3","Gene 4","Gene 5","Gene 6","Gene 7","Gene 8","Gene 9","Gene 10","Gene 11","Gene 12","Gene 13","Gene 14","Gene 15","Gene 16","Gene 17","Gene 18","Gene 19","Gene 20","Gene 21","Gene 22","Gene 23","Gene 24","Gene 25","Gene 26","Gene 27","Gene 28","Gene 29","Gene 30","Gene 31","Gene 32","Gene 33","Gene 34","Gene 35","Gene 36","Gene 37","Gene 38","Gene 39","Gene 40","Gene 41","Gene 42","Gene 43","Gene 44","Gene 45","Gene 46","Gene 47","Gene 48","Gene 49","Gene 50","Gene 51","Gene 52","Gene 53","Gene 54","Gene 55","Gene 56","Gene 57","Gene 58","Gene 59","Gene 60","Gene 61","Gene 62","Gene 63","Gene 64","Gene 65","Gene 66","Gene 67","Gene 68","Gene 69","Gene 70","Gene 71","Gene 72","Gene 73","Gene 74","Gene 75","Gene 76","Gene 77","Gene 78","Gene 79","Gene 80","Gene 81","Gene 82","Gene 83","Gene 84","Gene 85","Gene 86","Gene 87","Gene 88","Gene 89","Gene 90","Gene 91","Gene 92","Gene 93","Gene 94","Gene 95","Gene 96","Gene 97","Gene 98","Gene 99","Gene 100"
"Cell 11",18,33,27,24,14,7,15,17,27,10,22,21,17,13,0,20,14,26,33,120,20,33,9,13,28,5,2,6,11,12,0,8,6,6,2,3,10,14,47,6,7,6,15,8,6,14,5,3,9,0,5,0,0,6,0,2,0,22,16,29,16,0,14,11,0,0,5,11,0,0,3,4,0,0,37,1,0,2,1,0,4,2,4,8,2,2,2,6,0,0,0,0,0,0,0,0,0,0,1,0
"Cell 12",24,33,46,29,28,10,24,9,33,15,14,21,20,7,2,20,19,24,26,48,27,51,11,18,13,5,2,14,16,9,0,12,6,11,3,7,10,24,42,12,17,11,18,7,18,2,1,2,14,0,2,0,0,11,2,0,0,17,12,27,6,0,7,15,0,0,2,3,0,0,3,4,1,0,25,3,0,7,0,8,2,0,13,12,0,0,7,13,0,2,0,0,0,0,0,0,0,7,0,0
"Cell 13",9,19,32,23,7,12,44,1,57,3,24,25,29,6,0,21,7,34,31,54,25,33,9,37,13,10,1,16,5,31,0,22,0,11,0,3,25,27,23,8,5,7,18,5,13,4,12,6,19,0,7,0,0,16,0,6,0,37,8,8,19,0,7,12,0,1,2,0,0,0,2,11,0,0,28,5,0,1,0,2,8,0,8,4,0,2,10,14,0,0,0,0,0,2,0,0,0,0,0,0
"Cell 14",29,38,18,21,22,4,23,9,12,5,19,24,9,8,5,20,11,8,10,87,27,13,15,5,15,6,6,14,15,17,0,17,2,14,3,13,14,11,44,16,12,6,6,19,7,4,5,4,7,0,13,0,0,9,0,1,9,15,17,22,15,0,6,8,0,0,4,1,4,1,5,0,0,0,24,4,0,11,0,5,0,0,9,14,0,0,9,21,0,3,0,0,0,0,0,0,0,0,0,0
"Cell 15",20,31,44,18,18,28,24,11,42,14,27,8,16,14,0,17,15,11,23,68,31,28,13,41,12,2,1,13,7,9,0,12,4,26,5,7,13,22,31,10,11,9,3,13,5,6,3,5,11,0,11,0,0,4,0,4,2,29,9,17,19,0,3,6,0,4,2,5,3,0,15,9,1,2,22,7,0,0,0,6,1,1,6,11,0,0,9,12,0,1,0,0,0,1,0,0,0,0,0,0
"Cell 16",19,25,25,15,11,27,21,17,43,10,15,17,28,17,0,9,21,30,19,69,26,44,6,17,31,8,6,1,14,17,0,17,7,22,2,7,5,28,37,6,11,9,12,5,10,14,2,0,12,1,3,0,0,24,0,4,0,35,9,34,19,0,9,14,0,0,0,1,1,0,8,2,1,2,25,1,0,3,0,6,0,0,1,6,0,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 17",19,37,11,27,16,16,22,22,34,11,19,14,14,10,0,20,12,21,19,73,32,15,4,5,29,13,0,8,14,13,0,18,3,14,0,10,13,12,42,11,14,9,9,24,14,13,9,5,7,0,3,0,0,5,12,2,3,10,10,21,23,0,5,14,0,0,0,2,1,0,5,0,4,0,15,1,0,14,0,12,0,0,7,12,0,0,7,17,0,2,0,0,0,0,0,0,0,3,0,0
"Cell 18",25,42,24,15,35,11,30,29,23,10,33,16,6,25,2,15,12,14,10,66,17,15,12,18,11,33,7,5,13,12,0,13,6,24,5,10,16,23,68,2,10,10,19,7,7,8,6,2,15,0,8,0,0,8,7,0,3,17,12,17,18,0,4,12,0,1,1,0,3,0,9,2,1,0,26,5,0,2,0,2,1,0,10,17,0,0,7,18,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 19",19,42,30,21,20,8,19,11,27,10,22,22,26,7,7,12,24,24,14,85,31,30,17,20,25,10,8,16,4,6,0,20,8,8,0,13,8,16,48,4,11,3,9,8,17,1,1,4,11,0,6,0,0,12,0,0,0,30,28,19,10,0,6,16,0,1,4,6,3,0,5,3,7,0,21,3,0,1,0,2,0,0,5,10,0,0,4,12,0,8,0,0,0,0,0,2,0,3,0,0
"Cell 20",27,28,20,12,35,11,17,16,23,29,23,19,13,20,4,16,38,27,15,80,33,25,10,1,24,12,13,4,22,9,0,11,18,20,0,21,13,13,45,6,9,9,5,27,4,6,0,15,2,0,7,0,2,10,0,2,1,10,24,43,9,4,3,10,3,2,4,0,10,0,8,0,6,0,9,0,0,8,0,2,1,0,0,8,0,0,7,11,0,16,0,0,0,0,0,0,0,0,0,0
"Cell 21",33,15,47,26,17,9,10,14,40,9,21,12,40,25,0,11,24,14,27,69,33,17,5,5,11,1,4,5,4,10,0,9,10,10,0,13,10,31,46,8,15,8,12,12,12,9,0,0,13,0,6,0,0,7,0,3,1,18,7,41,16,0,10,7,0,0,4,0,0,0,14,0,3,0,20,3,0,11,0,14,0,0,2,5,0,3,7,17,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 22",17,18,20,33,13,15,32,30,50,5,22,22,32,16,0,11,2,17,20,65,21,30,4,24,12,9,11,6,8,11,0,19,1,12,0,3,11,6,33,4,12,6,22,2,15,6,7,5,22,5,7,0,0,14,6,7,0,28,6,24,24,0,13,12,0,4,0,0,0,0,8,8,5,0,15,1,0,0,0,3,1,0,5,12,0,7,0,24,0,4,3,0,0,1,0,0,0,1,2,0
"Cell 23",22,33,15,32,28,3,32,14,52,10,12,11,24,8,1,7,23,11,18,86,48,20,14,13,23,14,6,10,20,11,0,7,10,17,0,7,15,15,31,9,20,6,13,19,7,4,0,3,9,0,5,0,0,8,0,3,0,15,10,22,33,0,9,10,0,1,5,1,2,0,8,4,5,0,17,7,1,8,0,2,0,0,0,9,1,0,10,21,0,4,0,0,0,0,1,0,0,0,0,0
"Cell 24",14,42,13,24,13,3,23,11,32,6,26,11,8,8,0,26,25,5,24,69,24,5,6,11,12,6,0,15,18,7,0,14,4,12,0,5,5,20,41,15,11,5,8,16,10,16,0,7,16,0,5,0,0,3,0,0,14,23,12,30,34,0,17,6,0,0,8,0,5,0,0,7,2,0,25,5,0,6,0,6,0,0,5,13,0,0,15,18,0,2,0,0,4,0,0,0,0,0,2,0
"Cell 25",17,38,8,34,15,18,38,7,19,18,11,22,9,22,17,9,23,10,18,76,18,28,23,9,36,4,3,4,15,6,0,12,13,16,0,16,8,21,30,8,7,4,8,15,12,8,1,9,2,0,14,0,0,17,3,1,4,10,10,32,21,0,7,11,0,0,0,0,7,0,5,0,0,0,19,6,0,7,0,0,3,0,7,9,0,0,5,11,0,7,0,0,0,0,0,0,0,8,0,0
"Cell 26",14,18,38,43,17,8,20,10,40,3,17,19,24,10,1,10,7,29,15,78,37,33,1,24,35,18,7,6,14,5,0,4,3,14,0,12,2,35,46,9,7,11,19,3,9,3,3,0,8,0,3,0,0,12,6,4,1,20,13,23,8,0,6,8,0,2,0,0,0,0,7,6,0,0,27,0,0,0,0,7,0,0,2,8,0,0,5,8,0,3,3,0,0,0,0,0,0,3,0,0
"Cell 27",37,43,12,15,22,9,22,15,31,9,28,6,19,10,6,15,15,18,8,66,38,13,6,11,15,7,11,8,20,29,0,10,6,18,0,18,19,9,36,3,20,6,2,12,14,6,1,19,9,0,3,0,0,15,1,2,7,6,18,23,11,0,6,3,0,0,2,5,5,0,5,0,7,0,11,7,0,13,0,3,0,0,4,8,0,0,10,20,1,4,0,0,0,0,0,0,0,0,0,0
"Cell 28",18,27,21,17,5,23,26,5,34,5,27,14,18,1,0,9,11,6,38,55,29,9,4,9,19,11,0,18,23,5,0,9,4,22,0,0,4,44,50,15,5,20,25,13,11,9,4,0,12,0,0,0,0,4,0,0,5,39,3,29,48,0,7,8,0,0,14,0,1,3,10,7,0,0,18,10,0,4,0,8,0,0,3,6,0,2,20,22,0,0,0,0,0,0,2,0,0,0,0,0
"Cell 29",53,41,11,20,21,2,20,11,40,6,8,18,10,5,0,16,13,6,13,86,21,6,8,12,9,3,6,5,20,13,0,14,3,13,0,7,22,14,42,13,6,7,3,20,4,3,7,17,10,0,1,0,0,6,0,6,7,20,16,13,25,0,9,4,0,0,16,1,7,9,11,2,4,0,14,14,3,4,0,9,0,0,4,16,0,0,15,19,1,0,0,0,0,0,1,3,0,0,4,0
"Cell 30",25,24,9,30,13,13,20,12,44,14,18,7,27,9,2,13,14,15,20,67,38,24,17,19,30,11,3,11,20,17,2,15,4,22,0,14,5,19,28,15,9,9,8,9,19,9,7,6,15,0,3,0,0,11,0,2,9,8,20,15,17,0,4,18,0,3,3,1,3,0,5,0,2,0,12,3,0,8,0,3,0,0,7,6,0,0,12,29,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 31",26,37,20,44,24,7,20,4,31,12,24,26,19,11,4,22,36,17,13,74,39,34,14,9,30,22,1,8,15,13,0,6,11,12,0,8,2,28,42,2,6,9,12,5,19,4,0,2,11,0,12,0,0,12,1,7,0,13,14,49,14,0,6,9,0,2,4,5,3,0,7,0,0,2,28,5,0,4,0,9,4,0,3,7,0,0,4,5,0,4,0,0,0,0,0,0,0,9,0,0
"Cell 32",18,23,34,41,44,10,29,15,22,26,13,6,26,27,10,10,8,21,8,101,29,35,17,10,27,12,15,1,5,5,0,16,22,11,4,16,10,19,26,2,16,7,18,14,13,10,0,0,9,0,4,2,0,13,0,0,0,19,16,24,7,0,1,6,0,3,0,8,0,0,0,1,3,2,27,3,0,10,0,4,5,0,9,6,0,1,5,18,0,7,0,0,0,0,0,0,0,0,0,0
"Cell 33",37,35,27,26,10,11,31,3,54,6,32,29,10,10,0,21,16,19,33,87,26,26,5,22,30,8,0,13,21,8,1,18,9,17,0,5,17,36,39,4,5,12,8,8,3,9,6,3,9,0,6,0,0,8,0,3,2,9,10,26,20,0,8,4,0,0,5,0,1,0,4,6,0,0,20,2,0,1,0,5,9,0,3,12,0,2,9,13,0,1,0,0,0,0,0,1,0,0,1,0
"Cell 34",19,17,11,22,24,16,13,16,22,16,6,24,21,13,2,3,16,18,13,60,24,28,14,8,27,7,1,9,5,14,0,20,10,24,0,12,7,26,26,11,5,8,10,4,16,5,0,4,2,1,11,0,0,15,1,1,4,26,11,34,12,0,3,9,0,0,1,0,3,0,8,7,9,0,36,5,0,4,0,6,2,0,3,5,0,0,11,12,0,4,0,2,0,0,0,0,0,0,0,0
"Cell 35",26,64,14,17,14,4,27,15,35,14,28,27,23,9,1,24,14,22,8,81,56,17,14,8,14,7,7,9,25,10,0,11,4,25,0,11,14,23,36,9,12,7,10,9,19,10,3,7,10,0,5,0,0,12,0,1,6,8,9,24,11,0,11,8,0,0,8,0,11,0,10,0,4,0,15,7,1,5,0,5,0,0,3,6,0,0,7,12,0,5,0,0,0,0,0,0,0,0,0,0
"Cell 36",17,55,15,21,8,8,14,16,33,19,15,35,7,9,0,25,25,16,31,64,41,25,9,16,19,19,0,5,31,16,0,11,6,18,1,5,11,18,36,13,10,6,6,11,9,14,3,11,10,1,6,0,0,11,0,3,5,19,13,36,30,0,7,9,0,0,2,0,6,0,7,3,2,0,13,2,0,3,0,3,0,0,9,14,0,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 37",27,14,30,24,11,6,37,12,41,9,17,23,26,15,0,11,4,30,24,68,49,23,5,20,20,5,2,6,11,16,0,17,3,31,1,4,10,27,37,13,8,9,8,2,13,17,8,8,11,0,12,0,0,11,8,2,3,14,11,17,25,0,7,5,0,1,0,2,0,0,4,5,0,1,14,0,0,1,0,8,4,0,14,8,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 38",26,29,13,15,14,10,25,15,32,4,24,23,12,2,0,17,13,28,13,101,23,25,3,14,12,7,2,14,8,6,0,5,6,15,5,10,8,18,28,9,8,13,2,23,19,3,0,3,11,0,8,0,0,13,1,4,0,10,7,18,28,0,17,10,0,0,2,5,6,0,14,3,2,0,7,1,0,6,0,3,2,0,6,16,0,3,8,16,0,1,0,0,0,0,0,0,0,1,0,0
"Cell 39",17,26,25,32,6,5,26,8,36,1,32,21,27,0,0,11,20,16,32,93,21,31,3,5,14,14,3,12,22,3,0,12,4,6,0,3,18,21,36,6,10,8,10,10,13,4,2,2,12,0,8,0,0,6,0,1,0,13,12,34,24,0,10,6,1,2,4,3,0,0,7,1,0,0,18,1,0,7,1,5,3,0,0,3,0,1,11,6,0,1,1,0,0,0,0,0,0,0,0,0
"Cell 40",25,22,40,49,33,5,38,10,31,7,18,25,19,17,7,21,18,18,7,98,22,28,7,8,19,23,12,6,11,11,0,9,8,12,0,15,19,23,20,7,10,8,25,10,13,8,0,4,16,0,1,0,0,27,4,4,0,4,14,32,13,0,10,9,0,0,1,1,0,0,6,0,0,0,13,2,1,5,0,9,9,0,5,7,0,2,5,9,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 41",24,38,7,18,22,17,24,11,27,17,32,13,17,12,0,16,16,12,18,71,51,16,8,15,23,16,2,8,14,6,0,10,9,18,0,7,8,10,30,12,10,6,7,10,9,5,0,12,11,0,7,0,0,21,5,0,7,12,11,24,26,0,2,7,0,4,1,4,15,0,7,0,13,0,10,11,0,1,0,7,0,0,0,5,4,0,10,18,0,6,0,0,0,0,0,0,0,0,0,0
"Cell 42",27,31,11,27,17,18,34,22,32,8,27,16,13,11,1,25,28,17,12,73,34,29,10,13,21,10,8,2,13,6,0,11,11,33,7,5,15,21,27,14,14,8,6,16,5,3,0,5,12,2,2,0,0,12,0,2,7,16,16,49,12,0,9,22,0,0,8,2,1,0,8,0,2,0,9,3,0,4,0,2,0,0,7,14,0,1,8,17,0,7,0,0,0,0,0,1,0,0,0,0
"Cell 43",12,27,23,24,24,17,22,24,38,5,31,20,13,27,1,10,12,14,27,73,29,31,10,12,12,12,4,3,14,14,0,6,9,13,0,7,4,15,35,5,16,3,10,14,7,17,0,1,9,0,4,0,0,10,0,4,1,20,6,19,13,0,6,11,0,0,0,0,0,0,3,1,0,0,18,8,0,5,0,3,0,0,6,13,0,0,3,13,0,3,3,0,0,0,0,0,0,0,0,0
"Cell 44",22,30,32,28,16,21,14,18,32,13,36,34,26,14,1,21,15,16,22,66,28,41,16,24,12,3,7,6,8,7,0,16,8,26,0,12,12,26,26,6,12,3,14,11,11,3,0,0,17,0,2,0,1,12,0,2,2,20,29,20,16,0,6,6,0,9,1,3,6,0,5,1,4,0,30,9,0,8,0,4,0,0,0,6,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 45",27,34,17,15,42,12,17,15,67,18,13,16,21,36,5,11,11,26,14,93,38,36,16,6,15,9,9,2,12,8,0,18,12,12,0,8,15,28,20,15,12,20,7,24,5,19,0,9,11,0,7,0,0,16,2,0,0,14,28,49,15,0,1,7,0,0,2,0,1,0,5,0,0,0,14,0,0,15,0,8,2,0,0,3,2,1,7,9,1,12,0,0,0,0,0,0,0,0,0,0
"Cell 46",24,31,43,21,25,15,10,10,31,16,14,27,15,17,1,28,19,25,12,69,35,26,11,9,13,9,3,4,14,5,0,11,13,10,0,22,8,28,29,7,20,8,7,8,6,7,0,6,13,2,4,0,0,19,2,5,0,15,26,35,12,0,8,9,0,0,3,10,1,0,8,0,3,0,17,0,0,2,0,5,0,0,0,6,1,0,4,7,0,6,0,0,0,0,0,0,0,0,0,0
"Cell 47",21,29,41,13,27,4,20,5,42,33,19,7,25,18,3,15,24,21,14,79,54,32,12,8,19,25,15,1,14,8,0,11,10,15,0,10,13,32,44,9,23,11,21,11,9,19,2,2,12,0,4,0,0,8,0,0,0,6,20,27,18,0,0,19,0,7,2,5,1,0,13,0,5,0,18,2,0,12,0,4,3,0,0,6,0,3,10,2,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 48",14,26,24,21,16,13,21,12,51,12,13,11,27,10,0,13,5,16,28,100,27,33,1,30,24,5,7,5,15,10,0,29,3,9,0,2,6,15,21,9,11,12,11,9,16,3,2,3,4,0,8,0,0,16,0,17,4,30,21,10,15,0,12,15,0,3,0,4,0,0,1,5,1,1,20,4,0,0,0,6,1,0,6,9,0,0,6,13,0,0,0,0,0,4,0,0,0,0,0,0
"Cell 49",48,42,22,26,13,14,13,10,48,6,24,33,15,16,0,22,13,17,19,70,20,15,1,14,13,10,6,7,18,23,1,12,1,16,0,7,12,31,36,4,7,12,5,12,6,5,7,2,15,0,12,0,1,13,1,3,8,27,7,15,21,0,12,6,0,2,5,2,2,0,4,5,0,0,21,5,0,5,0,8,8,0,14,13,0,0,8,9,0,0,2,0,0,0,0,2,0,0,0,0
"Cell 50",21,17,30,22,27,6,23,11,39,5,16,15,23,7,0,3,5,8,22,64,38,14,7,13,24,20,6,6,7,4,0,16,6,17,1,8,12,23,32,9,17,15,19,14,6,1,0,3,7,0,18,0,0,5,4,3,1,14,13,20,9,0,2,7,0,1,2,0,0,0,2,6,1,0,19,12,0,5,0,2,2,0,6,9,0,1,11,9,0,4,0,1,0,0,0,0,0,7,0,3
"Cell 51",20,22,24,17,11,6,35,9,35,2,14,14,21,3,2,13,16,7,31,62,24,22,11,16,37,4,1,10,8,2,0,13,8,8,0,18,24,16,49,5,9,6,11,7,9,6,3,0,6,0,0,0,0,10,4,3,5,12,7,33,35,0,12,10,0,0,12,0,1,0,15,0,0,0,34,5,0,11,0,9,0,0,7,7,0,0,7,20,0,1,0,0,0,0,0,0,0,2,0,0
"Cell 52",24,21,15,24,18,11,29,16,40,14,13,26,19,12,1,3,21,15,22,61,41,27,8,13,13,1,7,7,16,4,0,15,7,31,0,5,9,11,55,7,12,10,16,9,22,3,0,13,6,0,1,0,0,11,0,5,5,31,10,31,15,0,3,3,0,0,3,2,2,0,16,4,0,0,17,3,0,2,0,5,4,0,4,7,1,0,9,14,0,4,0,0,0,0,0,0,0,4,0,0
"Cell 53",47,29,9,11,34,26,27,7,31,27,9,14,22,16,0,7,12,21,9,72,50,32,14,15,31,8,7,2,17,17,0,6,10,37,0,4,22,28,37,6,13,5,8,16,16,3,0,3,10,0,11,0,0,10,0,10,5,22,21,30,6,0,1,14,0,2,3,0,8,0,27,4,0,0,19,0,1,4,0,10,4,0,1,5,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 54",26,36,19,25,9,11,29,14,35,11,13,8,20,14,5,9,15,17,29,95,27,29,11,21,20,7,0,11,22,14,0,10,8,21,0,6,15,8,22,10,15,7,17,13,6,12,0,5,3,0,6,0,0,15,2,0,3,27,16,21,13,0,8,13,0,6,0,6,4,0,4,3,0,0,25,7,0,5,0,3,2,0,6,10,0,0,3,10,0,0,0,0,0,0,0,0,0,3,0,0
"Cell 55",21,39,20,20,14,9,17,18,17,8,22,14,9,9,0,16,20,10,23,101,37,12,5,8,23,18,2,6,15,5,0,9,10,17,0,12,7,11,16,12,12,7,11,19,10,4,0,18,11,0,12,0,0,6,0,0,6,14,11,31,15,0,6,7,0,0,5,5,1,0,1,0,2,0,15,7,0,3,0,0,4,0,3,22,0,0,11,14,0,4,0,0,0,0,1,0,0,0,0,0
"Cell 56",22,43,18,12,16,7,33,20,27,4,17,15,15,7,2,27,29,24,18,112,32,21,13,11,18,8,5,6,14,14,0,10,4,11,0,11,13,18,32,12,13,14,5,6,9,3,0,11,12,0,13,0,0,21,0,1,12,20,14,22,30,0,8,3,0,0,3,9,4,0,5,4,0,0,21,0,0,5,0,2,0,0,14,13,0,0,11,11,0,3,0,0,0,0,0,0,0,0,2,0
"Cell 57",26,48,18,6,23,14,19,14,22,13,50,9,11,20,6,15,21,7,20,58,49,18,11,12,39,14,7,6,17,9,0,11,17,27,0,9,11,23,45,14,7,11,9,20,24,7,2,5,6,0,5,0,0,11,0,0,6,17,14,27,19,0,4,3,0,1,3,0,13,0,12,0,0,0,14,8,0,8,0,1,0,1,1,16,0,1,8,21,0,11,0,0,0,0,0,0,0,0,0,0
"Cell 58",25,44,18,20,15,6,50,23,27,2,21,24,11,9,0,20,11,5,24,76,32,13,4,22,25,7,2,21,18,18,0,15,4,16,0,6,16,5,44,11,17,7,5,17,6,9,6,7,10,0,4,0,0,5,1,0,5,21,12,23,27,0,9,14,0,0,2,1,6,0,14,2,0,0,20,10,0,2,0,7,0,0,4,17,0,0,9,38,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 59",37,30,21,16,14,12,32,5,35,9,15,10,6,7,0,7,10,19,25,58,27,22,10,10,28,12,1,14,22,9,0,19,5,15,0,9,5,29,26,15,22,4,17,15,15,7,0,9,9,0,17,0,0,5,5,6,2,11,8,30,28,0,7,14,0,0,0,0,0,2,5,2,2,0,11,16,0,4,0,6,0,0,10,8,0,0,16,19,0,0,0,0,0,0,0,0,0,2,0,0
"Cell 60",46,19,28,36,21,8,17,19,43,4,34,12,15,5,0,12,12,21,16,71,17,24,7,20,17,4,2,13,14,13,0,16,5,18,0,4,6,23,28,6,8,15,21,4,7,7,3,3,6,0,4,0,0,6,3,6,0,18,7,8,22,0,11,17,0,0,4,0,0,0,5,9,0,0,43,4,0,0,0,3,7,1,5,11,0,0,11,16,0,0,0,0,0,0,0,1,1,0,0,0
"Cell 61",17,39,37,30,20,19,23,18,42,18,5,28,11,11,2,11,15,16,19,68,20,19,12,8,28,21,3,8,11,15,0,20,8,16,0,23,5,14,30,13,10,9,5,17,4,7,0,16,11,0,5,0,0,18,0,1,1,22,12,36,21,0,2,10,0,0,8,2,2,0,2,0,4,0,9,13,0,9,0,8,2,0,5,11,0,0,7,20,0,8,0,0,0,0,0,1,0,0,0,0
