"","Gene 1","Gene 2","Gene 3","Gene 4","Gene 5","Gene 6","Gene 7","Gene 8","Gene 9","Gene 10","Gene 11","Gene 12","Gene 13","Gene 14","Gene 15","Gene 16","Gene 17","Gene 18","Gene 19","Gene 20","Gene 21","Gene 22","Gene 23","Gene 24","Gene 25","Gene 26","Gene 27","Gene 28","Gene 29","Gene 30","Gene 31","Gene 32","Gene 33","Gene 34","Gene 35","Gene 36","Gene 37","Gene 38","Gene 39","Gene 40","Gene 41","Gene 42","Gene 43","Gene 44","Gene 45","Gene 46","Gene 47","Gene 48","Gene 49","Gene 50","Gene 51","Gene 52","Gene 53","Gene 54","Gene 55","Gene 56","Gene 57","Gene 58","Gene 59","Gene 60","Gene 61","Gene 62","Gene 63","Gene 64","Gene 65","Gene 66","Gene 67","Gene 68","Gene 69","Gene 70","Gene 71","Gene 72","Gene 73","Gene 74","Gene 75","Gene 76","Gene 77","Gene 78","Gene 79","Gene 80","Gene 81","Gene 82","Gene 83","Gene 84","Gene 85","Gene 86","Gene 87","Gene 88","Gene 89","Gene 90","Gene 91","Gene 92","Gene 93","Gene 94","Gene 95","Gene 96","Gene 97","Gene 98","Gene 99","Gene 100"
"Cell 34",19,16,11,22,24,16,13,16,22,15,6,24,22,13,2,3,15,18,13,60,24,28,13,8,27,7,2,9,4,14,0,20,10,23,0,12,7,26,25,11,5,8,10,4,16,5,0,4,3,1,11,0,0,15,1,1,3,27,11,34,13,0,3,9,0,0,1,0,3,0,8,7,9,0,36,5,0,4,0,6,2,0,3,5,0,0,11,12,0,3,0,3,0,0,0,0,0,1,0,0
"Cell 35",25,63,14,17,14,4,27,15,35,14,29,27,24,9,1,24,14,22,8,81,54,17,14,8,14,7,7,9,24,10,0,11,4,25,0,11,13,23,36,8,12,7,10,9,19,10,3,7,10,0,5,0,0,12,0,1,5,7,9,23,11,0,11,8,0,0,8,0,11,0,10,0,4,0,15,7,1,5,0,5,0,0,3,6,0,0,7,12,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 36",17,54,15,21,8,8,14,15,33,18,15,35,7,9,0,25,25,16,31,64,40,25,9,16,19,19,0,5,30,16,1,11,6,17,1,5,11,18,36,12,10,6,6,11,9,14,3,11,10,1,6,0,0,11,0,4,5,19,12,36,30,0,7,9,0,0,2,0,6,0,7,3,1,0,13,2,0,3,0,3,0,0,9,14,0,2,5,13,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 37",27,14,30,24,11,6,37,11,41,8,17,24,27,15,0,11,4,30,24,68,48,23,5,20,20,5,2,6,11,16,0,17,3,30,1,4,10,27,36,13,8,9,8,2,13,18,8,8,11,0,12,0,0,11,8,2,3,14,11,17,25,0,7,5,0,1,0,2,0,0,4,5,0,1,14,0,0,1,0,8,4,0,14,8,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 38",26,28,13,16,14,10,25,15,32,4,24,24,12,2,0,17,13,28,13,102,23,25,3,14,12,7,2,14,8,6,0,5,6,15,5,10,8,18,28,8,8,13,2,23,19,3,0,3,11,0,8,0,0,13,1,4,0,10,7,18,27,0,17,9,0,0,2,5,5,0,14,3,1,0,7,1,0,6,0,3,2,0,5,16,0,3,8,16,0,1,0,0,0,0,0,0,0,2,0,0
"Cell 39",16,25,26,32,6,5,26,8,36,1,33,21,27,0,0,11,20,16,32,93,21,31,2,5,13,14,3,13,22,3,0,12,4,6,0,3,17,20,36,6,11,7,10,10,14,4,2,2,12,0,8,0,0,6,0,2,0,13,12,34,24,0,10,6,1,2,4,3,0,0,7,1,0,0,18,1,0,7,1,5,3,0,0,3,0,2,11,6,0,1,1,0,0,0,0,0,0,0,0,0
"Cell 40",25,22,40,48,32,5,38,10,31,7,18,25,19,17,7,21,18,19,7,98,22,28,7,8,19,23,11,7,11,11,0,9,8,12,0,15,18,23,19,7,11,8,24,10,13,8,0,4,16,0,1,0,0,26,4,4,0,4,14,32,13,0,10,9,0,0,1,1,0,0,5,0,0,0,13,2,1,5,0,9,10,0,5,7,0,2,5,9,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 41",24,37,7,19,22,17,24,11,27,17,33,13,18,12,0,16,16,12,19,71,50,16,8,15,23,16,2,8,14,6,0,10,9,17,0,6,8,10,30,11,10,5,7,10,9,5,0,12,11,0,7,0,0,20,5,0,7,12,11,24,25,0,2,7,0,4,1,4,14,0,7,0,13,0,10,11,0,1,0,7,0,0,0,5,4,0,9,18,0,6,0,0,0,0,0,0,0,0,0,0
"Cell 42",26,31,11,27,17,19,34,22,32,8,27,16,13,11,1,25,28,17,12,73,34,29,10,13,21,11,8,2,13,6,0,11,11,32,6,5,15,21,26,14,15,8,6,16,5,2,0,5,12,2,2,0,0,12,0,2,6,16,16,48,12,0,9,22,0,0,8,2,0,0,8,0,2,0,9,3,0,4,0,2,0,0,7,13,0,2,8,17,0,7,0,0,0,0,0,1,0,0,0,0
"Cell 43",12,27,23,24,24,18,22,24,38,5,32,21,14,27,1,10,11,14,27,72,28,31,10,12,12,12,4,3,14,14,0,6,9,13,0,7,4,15,34,5,16,3,10,14,7,17,0,1,9,0,4,0,0,10,0,4,1,20,6,19,14,0,6,11,0,0,0,0,0,0,3,1,0,0,18,8,0,5,0,3,0,0,6,13,0,0,3,13,0,3,3,0,0,0,0,0,0,0,0,0
"Cell 44",21,29,32,28,16,22,14,18,31,12,37,34,27,14,1,21,15,16,22,66,28,41,15,24,12,3,7,6,8,7,0,16,7,25,0,12,12,26,25,6,12,3,14,11,11,3,0,0,16,0,2,0,1,12,0,2,2,20,29,19,16,0,6,6,0,8,1,3,6,0,4,1,3,0,30,9,0,8,0,4,0,0,0,6,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 45",27,33,17,15,42,12,18,15,68,17,13,17,22,37,5,11,11,26,15,93,38,36,16,6,15,9,9,2,11,8,0,18,12,12,0,8,15,28,20,15,12,20,7,24,5,19,0,9,11,0,7,0,0,16,3,0,0,14,27,48,15,0,2,7,0,0,2,0,1,0,5,0,0,0,14,0,0,15,0,8,2,0,0,3,2,1,6,10,1,12,0,0,0,0,0,0,0,0,0,0
"Cell 46",23,31,44,22,25,15,11,10,31,16,14,27,15,17,1,28,19,25,12,69,34,27,11,9,13,9,3,4,14,5,0,11,13,11,0,21,8,27,29,7,20,8,7,8,6,7,0,6,13,3,4,0,0,18,2,6,0,15,26,34,12,0,8,8,0,0,3,10,1,0,8,0,3,0,17,0,0,2,0,5,0,0,0,6,1,0,4,7,0,6,0,0,0,0,0,0,0,0,0,0
"Cell 47",20,29,41,13,27,4,20,4,42,32,19,7,26,18,2,15,24,21,15,79,52,32,12,8,19,25,14,1,14,8,0,11,10,15,0,10,13,32,44,9,23,11,21,11,9,19,2,2,12,0,4,0,0,8,0,0,0,5,20,26,18,0,0,18,0,7,2,5,1,0,13,0,4,0,18,2,0,12,0,4,3,0,0,6,0,3,10,2,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 48",14,26,25,21,16,13,21,12,52,12,13,11,28,10,0,13,5,16,28,101,27,33,0,30,24,5,7,5,15,10,0,29,3,9,0,2,6,14,20,9,11,12,11,9,16,3,2,3,4,0,8,0,0,16,0,17,4,31,20,10,15,0,12,15,0,2,0,4,0,0,1,6,1,1,20,4,0,0,0,6,2,0,6,9,0,0,6,13,0,0,0,0,0,4,0,0,0,0,0,0
"Cell 49",47,42,22,26,13,15,14,10,48,6,25,33,16,16,0,22,13,17,19,70,20,15,1,14,13,11,6,7,18,23,1,12,1,16,0,7,12,31,35,4,7,12,5,12,6,6,7,2,15,0,11,0,1,13,1,3,7,28,7,15,21,0,12,6,0,1,5,2,2,0,4,5,0,0,21,5,0,5,0,9,8,0,14,13,0,0,8,10,0,0,2,0,0,0,0,1,0,0,0,0
"Cell 50",21,17,30,23,27,6,23,11,39,5,16,15,23,6,0,3,5,8,22,64,37,15,6,13,24,20,6,6,7,4,0,17,6,16,1,8,12,23,32,9,17,15,19,14,6,1,0,3,7,0,17,0,0,5,4,3,1,14,13,20,9,0,2,7,0,1,2,0,0,0,2,6,1,0,19,12,0,5,0,2,2,0,6,9,0,2,11,9,0,3,0,1,0,0,0,0,0,7,0,3
"Cell 51",20,22,24,17,11,6,35,8,35,2,14,15,21,3,2,13,16,7,31,61,24,22,11,16,38,4,1,10,7,2,0,13,8,8,0,17,23,15,49,5,9,6,11,7,9,6,3,1,6,0,0,0,0,10,5,3,5,12,7,32,34,0,12,10,0,0,12,0,1,0,15,0,0,0,34,5,0,11,0,9,0,0,7,7,0,0,7,20,0,1,0,0,0,0,0,0,0,2,0,0
"Cell 52",24,21,15,25,18,11,29,16,40,13,13,26,19,12,1,3,21,15,22,60,40,27,8,13,13,1,7,7,16,4,0,15,7,30,0,5,9,11,55,7,12,9,16,9,22,3,0,12,6,0,1,0,0,11,0,5,5,32,10,30,15,0,4,3,0,0,3,1,2,0,16,4,0,0,17,3,0,2,0,5,5,0,4,7,0,0,9,14,0,4,0,0,0,0,0,0,0,4,0,0
"Cell 53",46,28,10,11,34,27,27,7,31,27,9,14,23,16,0,7,12,21,10,72,49,32,14,15,31,8,7,2,16,17,0,6,10,36,0,4,22,28,36,6,13,5,8,15,16,3,0,2,10,0,11,0,0,10,0,10,5,22,20,30,7,0,2,14,0,2,3,0,8,0,27,4,0,0,19,0,1,4,0,10,4,0,1,5,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 54",25,35,19,25,8,11,29,14,35,11,13,8,20,13,5,9,14,17,29,96,27,29,11,21,20,7,0,12,21,14,0,10,8,21,0,6,15,8,21,10,16,6,17,13,6,12,0,5,3,0,6,0,0,15,2,0,3,27,16,21,13,0,8,12,0,6,0,6,4,0,4,3,0,0,25,7,0,5,0,3,2,0,6,10,0,0,3,10,0,0,0,0,0,0,0,0,0,3,0,0
"Cell 55",20,38,21,20,14,9,17,18,16,8,23,15,9,9,0,16,20,10,23,101,37,12,5,8,23,18,2,6,15,5,0,9,10,16,0,11,7,10,16,12,12,7,11,19,10,4,0,17,11,0,11,0,0,6,0,0,5,14,11,30,15,0,6,7,0,0,5,5,1,0,1,1,2,0,15,7,0,3,0,0,4,0,3,21,0,0,11,15,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 56",22,42,18,12,16,7,32,20,27,4,17,15,16,7,2,27,29,24,18,114,31,21,13,11,18,8,5,6,14,14,0,10,4,11,0,11,12,18,32,12,13,13,5,6,9,3,0,11,12,0,13,0,0,20,0,1,11,20,13,22,29,0,8,3,0,0,3,9,3,0,5,4,0,0,22,0,0,5,0,2,0,0,14,13,0,0,11,11,0,3,0,0,0,0,0,0,0,0,2,0
"Cell 57",26,48,18,7,23,14,19,14,22,13,51,9,11,21,6,15,21,7,20,58,48,18,11,12,39,14,7,6,17,9,0,11,16,26,0,9,11,22,45,13,7,11,9,20,24,7,2,5,6,0,5,0,0,11,0,0,6,17,14,26,19,0,4,3,0,1,3,0,13,0,12,0,0,0,14,8,0,8,0,2,0,1,0,16,0,1,8,22,0,10,0,0,0,0,0,0,0,0,0,0
"Cell 58",25,43,18,20,15,6,50,23,26,2,21,24,11,9,0,20,11,5,24,76,32,14,4,22,25,7,2,21,18,18,0,15,4,16,0,6,16,5,44,11,17,7,5,17,6,9,6,7,10,0,4,0,0,5,1,0,4,21,11,23,26,0,9,13,0,0,2,1,6,0,14,3,0,0,20,10,0,2,0,7,0,0,4,17,0,0,9,38,0,3,0,0,0,0,0,0,0,0,0,0
"Cell 59",37,30,21,16,14,12,32,4,35,8,15,10,6,6,0,7,10,19,25,58,27,22,10,10,28,12,1,14,22,9,0,19,5,15,0,8,5,28,25,15,22,4,17,15,15,7,0,9,9,0,16,0,0,6,5,6,2,11,8,30,27,0,7,14,0,0,0,0,0,2,5,2,2,0,11,16,0,4,0,6,0,0,10,8,0,0,16,20,0,0,0,0,0,0,0,0,0,2,0,0
"Cell 60",46,18,28,36,21,8,17,19,44,4,35,12,16,5,0,12,11,21,16,71,17,24,7,20,17,4,2,13,13,13,0,16,5,18,0,4,6,23,28,6,8,15,21,4,6,7,3,3,6,0,4,0,0,6,3,6,0,18,7,8,22,0,11,17,0,0,4,0,0,0,5,9,0,0,43,4,0,0,0,3,7,1,5,11,0,0,11,16,0,0,0,0,0,0,0,1,1,0,0,0
"Cell 61",17,38,37,30,20,20,23,17,42,18,5,28,11,11,2,11,15,16,19,67,20,19,12,8,28,21,3,8,11,15,0,20,8,16,0,23,5,13,30,12,10,9,5,17,4,7,0,16,11,0,5,0,0,18,0,2,1,22,12,36,21,0,2,9,0,0,8,2,2,0,2,0,4,0,9,13,0,9,0,8,2,0,5,11,0,0,7,21,0,8,0,0,0,0,0,1,0,0,0,0
