"","Gene 1","Gene 2","Gene 3","Gene 4","Gene 5","Gene 6","Gene 7","Gene 8","Gene 9","Gene 10","Gene 11","Gene 12","Gene 13","Gene 14","Gene 15","Gene 16","Gene 17","Gene 18","Gene 19","Gene 20","Gene 21","Gene 22","Gene 23","Gene 24","Gene 25","Gene 26","Gene 27","Gene 28","Gene 29","Gene 30","Gene 31","Gene 32","Gene 33","Gene 34","Gene 35","Gene 36","Gene 37","Gene 38","Gene 39","Gene 40","Gene 41","Gene 42","Gene 43","Gene 44","Gene 45","Gene 46","Gene 47","Gene 48","Gene 49","Gene 50","Gene 51","Gene 52","Gene 53","Gene 54","Gene 55","Gene 56","Gene 57","Gene 58","Gene 59","Gene 60","Gene 61","Gene 62","Gene 63","Gene 64","Gene 65","Gene 66","Gene 67","Gene 68","Gene 69","Gene 70","Gene 71","Gene 72","Gene 73","Gene 74","Gene 75","Gene 76","Gene 77","Gene 78","Gene 79","Gene 80","Gene 81","Gene 82","Gene 83","Gene 84","Gene 85","Gene 86","Gene 87","Gene 88","Gene 89","Gene 90","Gene 91","Gene 92","Gene 93","Gene 94","Gene 95","Gene 96","Gene 97","Gene 98","Gene 99","Gene 100"
"Cell 11",19,33,26,24,15,6,15,17,28,10,23,21,17,13,0,20,14,26,32,124,19,33,9,13,28,6,3,6,11,12,0,9,6,6,2,4,10,15,48,6,7,6,15,9,6,15,5,3,8,0,5,0,0,6,0,1,0,21,16,28,15,0,13,11,0,0,4,11,0,0,4,4,0,0,35,1,0,2,1,0,5,2,4,8,2,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0
"Cell 12",24,32,46,30,28,10,24,9,34,14,14,21,20,8,2,20,18,24,25,49,27,51,11,17,13,6,3,15,16,9,0,13,6,10,3,7,10,24,43,11,17,11,18,7,18,2,1,2,14,0,2,0,0,11,2,0,0,17,13,26,6,0,7,15,0,0,2,3,0,0,3,4,1,0,24,3,0,8,0,7,2,0,12,12,1,0,7,13,0,2,0,0,0,0,0,0,0,7,0,0
"Cell 13",9,18,31,23,7,12,44,1,59,3,25,24,29,7,0,22,7,33,30,55,25,33,9,35,13,10,2,17,5,33,0,23,0,10,0,3,26,27,22,8,4,7,18,5,13,4,11,6,19,0,7,0,0,17,0,5,0,36,8,8,18,0,7,12,0,0,2,0,0,0,3,11,0,0,27,5,0,2,0,2,8,0,8,4,0,3,10,14,0,0,0,0,0,2,0,0,0,0,0,0
"Cell 14",30,38,18,21,22,3,23,9,12,5,19,23,9,8,4,20,11,8,10,89,27,13,15,5,15,7,7,15,15,17,0,18,2,14,3,13,15,12,45,15,12,5,6,19,7,4,5,4,7,0,13,0,0,9,0,1,9,15,17,21,15,0,6,8,0,0,4,1,5,1,5,0,0,0,23,4,0,12,0,5,0,0,9,14,0,0,9,21,0,3,0,0,0,0,0,0,0,0,0,0
"Cell 15",20,31,44,18,19,30,24,11,43,13,27,7,16,14,0,18,14,11,23,69,32,28,13,39,12,3,2,14,7,9,0,13,4,26,5,7,13,22,30,10,11,8,4,13,5,6,3,5,11,0,12,0,0,4,0,4,2,29,9,16,18,0,3,5,0,3,2,5,3,0,14,9,1,3,21,6,0,0,0,6,2,1,6,11,0,0,9,12,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 16",19,25,25,15,12,29,21,17,45,9,16,17,28,17,0,10,20,29,18,70,27,44,6,17,31,8,6,1,14,17,0,18,7,22,2,8,5,27,38,6,10,9,12,5,10,14,2,0,12,1,3,0,0,25,0,4,0,34,10,33,19,0,8,15,0,0,0,1,1,0,8,2,1,3,24,1,0,4,0,5,1,0,1,6,0,0,2,9,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 17",19,37,11,28,17,17,22,22,35,10,19,14,14,10,0,20,12,21,19,75,32,15,4,5,29,14,0,8,14,13,0,19,3,13,0,10,13,13,43,10,13,8,9,24,14,14,8,5,7,0,4,0,0,5,10,1,3,10,10,20,22,0,5,15,0,0,0,2,1,0,5,0,4,0,14,1,0,15,0,11,0,0,7,12,0,0,7,17,0,2,0,0,0,0,0,0,0,3,0,0
"Cell 18",26,43,23,16,35,10,30,29,23,10,34,16,6,24,2,15,12,14,10,68,17,15,12,18,11,33,8,5,13,11,0,14,6,23,5,11,16,23,73,2,10,10,19,7,7,8,5,2,15,0,8,0,0,8,6,0,3,16,12,16,18,0,3,12,0,1,1,0,4,0,8,1,1,0,25,5,0,3,0,2,2,0,10,17,0,0,7,18,0,3,0,0,0,0,0,0,0,1,0,0
"Cell 19",19,42,29,21,20,7,19,11,28,9,23,21,26,7,7,12,23,24,14,87,31,30,17,20,25,10,9,17,4,6,0,20,8,8,0,14,8,17,49,4,11,2,9,8,17,1,1,4,11,0,6,0,0,12,0,0,0,29,28,19,9,0,6,16,0,0,4,6,4,0,5,3,8,0,20,3,0,1,0,2,0,0,5,10,0,1,4,12,0,8,0,0,0,0,0,2,0,3,0,0
"Cell 20",27,28,19,12,35,10,17,16,23,27,24,19,13,19,4,16,35,27,15,82,34,25,10,1,24,12,13,4,23,9,0,11,18,19,0,21,14,13,46,6,9,9,5,26,4,6,0,14,2,0,7,0,2,10,0,2,1,9,24,41,9,3,3,10,3,2,4,0,11,0,7,0,6,0,9,1,0,8,0,2,2,0,0,8,0,0,7,11,0,15,0,0,0,0,0,0,0,0,0,0
"Cell 21",34,14,46,26,18,8,10,14,42,9,22,12,39,25,0,11,23,14,26,70,34,17,5,6,11,1,4,5,4,9,0,10,10,10,0,14,10,30,47,8,15,7,12,12,12,9,0,0,13,0,7,0,0,7,0,2,1,17,7,39,16,0,10,7,0,0,4,0,1,0,13,0,3,0,19,3,0,12,0,14,1,0,2,5,0,3,7,17,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 22",17,17,20,34,14,15,32,30,52,6,22,21,32,16,0,11,3,17,20,66,21,30,4,23,12,10,11,6,8,11,0,19,1,11,0,4,11,7,32,4,12,6,21,2,16,6,6,5,23,5,7,0,0,15,6,7,0,27,6,23,24,0,13,12,0,4,0,0,0,0,8,8,5,0,14,1,0,1,0,3,1,0,5,12,0,8,0,24,0,4,3,0,0,1,0,0,0,1,1,0
"Cell 23",23,33,15,32,29,3,32,14,54,10,12,11,24,8,1,8,22,10,18,88,50,20,14,13,23,14,7,11,21,11,0,8,9,17,0,7,16,15,30,9,20,6,13,18,7,3,0,3,9,0,5,0,0,7,0,3,0,15,10,21,33,0,8,10,0,0,5,0,2,0,8,4,6,0,17,6,1,9,0,2,1,0,0,9,1,0,10,21,0,4,0,0,0,0,1,0,0,0,0,0
"Cell 24",14,42,13,24,14,3,23,11,33,6,26,11,9,8,0,26,23,4,23,70,24,5,6,11,12,6,0,16,18,7,0,15,4,11,0,6,5,20,42,14,11,4,8,16,10,16,0,7,16,0,5,0,0,3,0,0,14,23,12,29,34,0,17,6,0,0,8,0,6,0,1,7,2,0,24,5,0,7,0,6,0,0,5,13,0,0,15,18,0,2,0,0,4,0,0,0,0,0,1,0
"Cell 25",17,38,8,34,16,19,38,7,20,17,11,21,10,22,16,9,22,9,18,77,18,28,23,9,37,5,3,4,15,6,0,12,13,16,0,16,8,21,30,7,7,4,9,15,12,8,1,8,2,0,14,0,0,17,3,1,4,10,11,31,20,0,6,11,0,0,0,0,8,0,5,0,0,0,18,6,0,7,0,0,4,0,7,9,0,0,5,11,0,6,0,0,0,0,0,0,0,8,0,0
"Cell 26",14,17,37,44,18,8,20,10,41,3,17,18,24,10,1,10,7,28,14,80,39,34,1,23,35,18,8,6,14,5,0,4,2,13,0,12,2,33,47,9,7,10,18,3,9,3,3,0,8,0,3,0,0,12,6,4,1,20,14,22,7,0,6,8,0,1,0,0,0,0,7,6,0,0,26,0,0,1,0,6,0,0,2,8,0,1,5,8,0,3,3,0,0,0,0,0,0,3,0,0
"Cell 27",39,44,12,15,23,8,22,15,32,9,28,6,19,11,5,16,15,18,8,67,39,13,6,11,15,8,12,9,21,31,0,11,6,17,0,18,20,10,36,3,20,5,2,12,14,6,1,18,9,0,3,0,0,15,1,1,7,6,18,22,11,0,6,3,0,0,1,5,5,1,5,0,8,0,11,7,0,14,0,2,0,0,3,8,0,0,10,20,1,4,0,0,0,0,0,0,0,0,0,0
"Cell 28",18,26,21,17,6,24,26,5,35,5,27,13,18,1,0,9,11,6,36,56,30,9,5,9,19,11,0,19,24,5,0,10,4,22,1,0,4,42,52,14,5,19,24,13,11,9,4,0,12,0,0,0,0,3,0,0,5,38,3,28,48,0,7,8,0,0,14,0,1,3,10,7,0,0,17,10,0,4,0,7,0,0,3,6,0,3,20,22,0,0,0,0,0,0,2,0,0,0,0,0
"Cell 29",56,41,11,20,22,1,20,11,41,6,9,17,11,5,0,16,13,5,13,88,21,6,8,12,9,3,6,5,20,13,0,15,2,12,0,7,23,15,43,13,6,7,3,20,3,2,7,16,10,0,1,0,0,5,0,6,7,19,16,13,24,0,9,4,0,0,17,1,8,9,11,2,4,0,14,13,3,4,0,8,0,0,4,16,0,0,15,19,1,1,0,0,0,0,0,2,0,0,3,0
"Cell 30",25,24,9,31,14,13,20,12,46,13,19,7,27,9,2,13,14,15,20,68,39,25,18,19,30,12,4,12,21,17,2,16,4,22,0,14,5,19,27,14,9,8,8,9,20,9,7,6,15,0,3,0,0,12,0,1,8,8,20,15,16,0,4,18,0,3,3,0,4,0,5,0,2,0,12,3,0,9,0,3,0,0,6,6,0,0,12,29,0,1,0,0,0,0,0,0,0,0,0,0
"Cell 31",27,37,20,45,25,7,20,4,32,12,24,26,19,11,4,22,33,17,13,76,41,35,14,9,30,22,2,8,15,13,0,7,11,12,0,9,1,28,43,2,6,9,12,5,19,4,0,2,11,0,13,0,0,12,1,7,0,12,14,47,13,0,6,9,0,2,3,5,4,0,7,0,0,2,27,5,0,4,0,9,4,0,3,7,0,0,4,5,0,4,0,0,0,0,0,0,0,9,0,0
"Cell 32",18,23,33,42,44,10,29,15,23,25,13,6,26,27,9,10,8,20,9,104,30,35,17,10,27,12,15,1,5,4,0,17,22,11,4,16,11,19,25,2,16,6,18,14,14,10,0,0,9,0,4,3,0,13,0,0,0,19,16,23,7,0,1,6,0,3,0,8,0,0,1,1,3,3,26,3,0,11,0,3,5,0,8,6,0,2,5,18,0,7,0,0,0,0,0,0,0,0,0,0
"Cell 33",38,35,27,26,11,11,31,3,56,6,33,28,11,11,0,22,15,19,32,89,26,27,5,21,30,8,0,13,22,8,1,19,9,16,0,5,17,35,40,4,5,12,8,8,2,9,6,3,8,0,6,0,0,8,0,2,2,9,10,25,20,0,7,3,0,0,4,0,1,0,4,6,0,1,20,2,0,1,0,5,9,0,3,12,0,3,9,13,0,2,0,0,0,0,0,0,0,0,1,0
"Cell 34",19,15,10,22,25,16,13,16,22,15,6,23,22,13,2,3,15,18,13,61,25,29,14,8,27,8,2,9,4,14,0,20,10,23,0,12,7,26,25,11,5,8,10,5,16,5,0,4,2,1,11,0,0,16,1,1,4,26,11,32,12,0,3,9,0,0,1,0,4,0,8,7,10,0,34,5,0,5,0,6,2,0,3,5,0,0,11,12,0,4,0,3,0,0,0,0,0,1,0,0
"Cell 35",26,67,13,17,15,4,27,15,36,13,29,26,23,9,1,24,14,21,8,83,59,17,14,8,14,7,8,9,25,10,0,12,4,25,0,12,14,23,36,8,12,7,10,9,19,10,3,7,9,0,6,0,0,13,0,0,5,7,9,23,11,0,11,8,0,0,8,0,13,0,9,0,4,0,14,6,1,5,0,5,0,0,3,6,0,0,7,12,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 36",17,57,15,22,8,8,14,16,34,18,15,34,7,9,0,25,24,16,30,65,43,25,9,15,19,19,0,5,32,16,1,12,6,17,1,6,11,18,36,12,10,6,6,11,9,14,3,11,10,1,6,0,0,11,0,3,5,19,13,34,30,0,7,9,0,0,2,0,7,0,6,3,2,0,13,2,0,3,0,3,0,0,9,14,0,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 37",28,13,29,24,12,5,37,12,42,8,17,23,26,15,0,11,4,29,24,69,51,23,5,20,20,5,2,6,11,17,0,17,2,31,1,5,10,27,37,12,8,9,8,3,14,18,7,8,10,0,13,0,0,11,7,2,3,13,11,17,25,0,7,5,0,0,0,1,0,1,4,5,0,2,14,0,0,1,0,7,4,0,14,8,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 38",27,29,13,15,15,9,25,15,33,4,25,23,12,3,0,17,13,28,13,104,23,25,3,14,12,7,2,15,8,5,0,5,5,15,5,11,8,18,27,8,8,12,2,23,19,2,0,3,10,0,8,0,0,13,1,3,0,10,7,17,28,0,16,10,0,0,2,5,6,0,13,2,2,0,7,1,0,6,0,3,2,0,5,16,0,3,8,16,0,1,0,0,0,0,0,0,0,2,0,0
"Cell 39",17,25,25,33,7,5,26,8,37,2,33,20,27,1,0,11,20,16,31,95,20,31,3,6,13,14,3,13,23,3,0,13,4,6,0,4,18,21,37,6,10,7,10,10,14,3,2,2,12,0,8,0,0,5,0,1,0,13,12,33,24,0,10,6,1,2,4,3,0,0,7,1,0,0,18,1,0,8,1,4,3,0,0,3,0,2,11,6,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 40",25,21,39,51,33,5,38,10,32,7,18,25,19,17,7,21,17,18,7,100,21,28,7,8,19,23,12,7,11,11,0,10,8,12,0,15,19,23,18,7,10,8,24,10,14,8,0,4,17,0,1,0,0,28,4,4,0,4,14,31,13,0,10,9,0,0,1,0,0,0,6,0,0,0,13,2,1,6,0,8,10,0,5,7,0,3,5,9,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 41",24,38,7,19,23,17,24,11,28,16,33,13,18,12,0,16,16,11,18,73,54,16,9,15,24,16,3,8,14,6,0,11,9,17,0,7,8,11,30,11,10,5,7,10,9,5,0,12,11,0,7,0,0,21,4,0,7,12,11,23,25,0,2,7,0,4,0,4,16,0,7,0,15,0,9,11,0,2,0,7,0,0,0,5,5,0,10,18,0,6,0,0,0,0,0,0,0,0,0,0
"Cell 42",27,31,11,27,18,19,34,22,33,8,27,16,13,11,1,25,26,17,12,75,35,29,10,13,21,11,8,2,13,6,0,12,11,33,7,5,16,21,26,14,14,7,6,16,4,2,1,5,12,2,2,0,0,13,0,2,6,16,16,46,11,0,8,23,0,0,8,2,1,0,7,0,2,0,9,3,0,5,0,2,0,0,7,14,0,2,8,17,0,7,0,0,0,0,0,0,0,0,0,0
"Cell 43",12,27,22,24,24,17,22,24,39,5,32,20,14,26,1,10,11,14,26,74,29,31,10,12,12,12,5,3,14,14,0,6,9,13,0,8,4,16,34,5,16,3,10,14,7,18,0,2,9,0,4,0,0,10,0,3,1,19,6,18,13,0,6,11,0,0,0,0,0,0,3,1,0,0,18,8,0,5,0,3,0,0,6,13,0,0,3,13,0,4,3,0,0,0,0,0,0,0,0,0
"Cell 44",22,29,31,28,17,21,14,18,33,12,36,34,26,14,1,22,15,16,22,67,29,42,16,23,12,3,7,6,8,6,0,16,7,25,0,13,13,26,25,6,12,2,14,12,11,3,0,0,17,0,2,0,1,13,0,2,2,20,29,19,15,0,5,6,0,8,0,3,6,0,5,1,4,0,28,9,0,9,0,3,0,0,0,6,0,0,4,10,0,3,0,0,0,0,0,0,0,0,0,0
"Cell 45",28,33,17,15,42,12,17,15,70,17,13,16,21,35,5,12,11,26,14,95,40,36,16,6,15,10,9,2,12,7,0,19,12,12,0,9,16,28,19,15,11,20,7,24,4,20,0,9,11,0,7,0,0,17,2,0,0,14,28,46,15,0,1,7,0,0,1,0,1,0,5,0,0,0,13,0,0,16,0,7,2,0,0,3,2,1,7,9,1,11,0,0,0,0,0,0,0,0,0,0
"Cell 46",24,31,43,22,26,15,10,10,32,16,15,27,15,17,1,28,18,25,12,70,36,27,12,9,13,9,4,4,14,5,0,12,13,10,0,22,8,27,29,7,19,8,7,9,6,7,0,6,13,2,5,0,0,19,2,5,0,15,26,33,11,0,8,9,0,0,3,9,1,0,8,0,3,0,16,1,0,3,0,4,0,0,0,6,1,0,4,7,0,6,0,0,0,0,0,0,0,0,0,0
"Cell 47",21,29,40,13,28,4,20,4,43,31,19,7,25,18,2,15,23,21,14,81,57,32,13,8,19,24,15,1,14,8,0,11,10,14,1,11,13,31,45,9,22,11,20,11,9,20,2,2,12,0,4,0,0,8,0,0,0,6,20,25,17,0,0,20,0,7,1,4,1,0,12,0,5,0,17,2,0,13,0,3,4,0,0,6,1,3,11,2,0,2,0,0,0,0,0,0,0,0,0,0
"Cell 48",14,26,24,21,16,13,21,12,53,12,13,11,27,10,0,13,6,15,27,103,27,34,1,29,24,5,8,5,15,10,0,29,3,9,0,2,6,15,20,8,11,12,11,9,16,3,2,3,3,0,8,0,0,17,0,18,4,29,21,10,15,0,12,16,0,2,0,3,0,0,2,5,1,2,19,4,0,0,0,6,2,0,6,9,0,0,6,12,0,0,0,0,0,4,0,0,0,0,0,0
"Cell 49",50,43,21,27,14,14,13,10,50,6,25,32,16,15,0,22,13,17,19,71,20,15,1,13,13,11,6,7,18,24,1,13,1,15,0,8,13,31,36,4,7,12,5,12,6,5,7,2,15,0,12,0,1,13,1,3,7,26,7,15,21,0,11,6,0,1,5,1,3,0,4,4,0,0,21,5,0,6,0,8,9,0,14,13,0,0,8,9,0,0,2,0,0,0,0,1,0,0,0,0
"Cell 50",22,16,29,23,28,5,23,11,40,5,16,15,23,7,0,3,5,8,21,65,39,15,7,13,24,20,6,6,6,4,0,17,6,16,2,8,12,23,32,9,17,15,19,14,6,1,0,3,7,0,18,0,0,5,4,3,1,13,13,19,9,0,2,7,0,0,2,0,0,0,3,6,1,0,18,11,0,6,0,2,2,0,6,9,0,2,11,9,0,4,0,1,0,0,0,0,0,7,0,3
"Cell 51",20,21,24,17,12,5,35,9,36,2,15,14,21,4,2,13,16,6,30,63,24,22,12,15,38,5,1,11,7,2,0,14,8,7,0,18,25,16,51,5,8,6,11,7,9,6,3,1,6,0,1,0,0,10,4,2,5,11,7,31,35,0,11,11,0,0,12,0,1,0,14,0,0,0,32,5,0,12,0,8,0,0,7,7,0,0,7,20,0,2,0,0,0,0,0,0,0,2,0,0
"Cell 52",24,20,15,25,19,11,29,16,42,13,13,25,19,12,1,3,20,15,21,62,43,27,9,13,13,1,7,8,17,4,0,16,7,30,0,6,9,12,58,6,11,9,16,9,23,3,0,12,5,0,1,0,0,11,0,4,5,31,10,29,15,0,3,3,0,0,2,1,2,0,15,4,0,0,16,3,0,3,0,4,5,0,4,7,1,0,9,14,0,4,0,0,0,0,0,0,0,4,0,0
"Cell 53",49,28,9,11,35,27,27,7,32,25,10,13,23,15,0,7,12,21,9,73,53,33,14,15,31,9,8,2,17,17,0,7,10,37,0,5,24,27,37,6,13,4,8,16,16,2,0,3,9,0,11,0,0,10,0,9,5,21,21,29,6,0,1,15,0,2,2,0,9,0,24,3,0,0,19,0,1,5,0,9,4,0,1,5,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
"Cell 54",26,35,19,25,9,11,29,14,36,11,13,7,20,13,5,10,14,16,28,98,28,30,11,21,20,8,0,12,22,14,0,11,8,21,0,6,16,9,20,10,15,6,17,13,6,12,0,5,3,0,6,0,0,16,2,0,3,26,16,20,12,0,8,13,0,6,0,6,5,0,4,3,0,0,24,7,0,5,0,2,2,0,6,10,0,0,3,10,0,0,0,0,0,0,0,0,0,3,0,0
"Cell 55",21,39,20,20,15,8,17,18,17,8,23,14,10,9,0,17,19,10,22,103,39,12,5,8,23,18,2,6,15,5,0,9,10,16,0,12,7,11,15,11,12,7,11,19,10,4,0,17,11,0,12,0,0,6,0,0,5,14,11,29,14,0,6,7,0,0,5,5,1,0,2,0,2,0,14,7,0,3,0,0,4,0,3,22,0,0,11,14,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 56",22,43,18,12,17,6,33,20,28,4,17,15,16,7,2,27,27,23,18,116,32,21,13,11,18,9,5,6,15,14,0,10,4,10,0,12,13,18,32,11,13,13,6,6,9,3,0,11,12,0,13,0,0,22,0,0,11,20,14,21,29,0,7,3,0,0,3,8,4,0,5,4,0,0,21,0,0,5,0,1,1,0,14,13,0,0,11,11,0,3,0,0,0,0,0,0,0,0,2,0
"Cell 57",27,49,17,6,24,14,19,14,22,12,50,9,11,20,6,15,20,7,19,59,51,18,11,12,39,14,8,6,17,8,0,12,17,27,0,9,12,22,47,13,7,10,9,20,25,6,2,5,6,0,5,0,0,11,0,0,6,16,14,26,18,0,3,3,0,0,3,0,15,0,12,0,0,0,14,8,0,8,0,1,0,1,0,16,0,1,8,21,0,10,0,0,0,0,0,0,0,0,0,0
"Cell 58",26,45,18,20,16,5,50,23,27,2,21,23,12,9,0,20,11,5,23,78,33,14,4,22,25,7,2,23,18,18,0,15,4,16,0,7,17,6,46,11,17,6,5,17,6,9,5,7,10,0,4,0,0,5,1,0,4,21,12,22,26,0,8,14,0,0,2,0,6,0,13,2,0,0,19,10,0,3,0,7,1,0,4,17,0,0,9,37,0,4,0,0,0,0,0,0,0,0,0,0
"Cell 59",39,30,21,16,15,12,32,5,37,9,15,10,7,7,0,7,10,18,24,59,28,22,10,10,28,13,1,14,23,9,0,20,5,14,0,9,5,28,25,14,22,4,17,15,15,7,0,9,9,0,17,0,0,5,5,6,2,11,9,29,28,0,7,15,0,0,0,0,0,2,5,2,2,0,11,16,0,4,0,6,0,0,10,8,0,0,16,19,0,0,0,0,0,0,0,0,0,2,0,0
"Cell 60",48,18,27,37,22,7,17,19,45,4,34,11,16,5,0,12,11,20,16,73,16,24,7,19,17,4,3,13,14,13,0,17,5,18,0,4,6,23,28,6,8,15,21,4,6,7,3,3,5,0,4,0,0,6,3,6,0,18,7,8,21,0,10,18,0,0,4,0,0,0,5,9,0,0,41,4,0,1,0,3,7,1,4,11,0,0,11,16,0,0,0,0,0,0,0,0,1,0,0,0
"Cell 61",17,39,36,31,21,20,23,18,43,17,5,27,11,11,2,12,15,15,18,69,20,19,12,8,28,21,3,9,11,15,0,21,8,16,0,23,4,14,30,12,10,9,5,17,4,7,0,16,11,0,5,0,0,18,0,1,1,21,12,34,21,0,2,10,0,0,7,2,2,0,2,0,4,0,9,12,0,10,0,8,2,0,5,11,0,0,7,20,0,7,0,0,0,0,0,1,0,0,0,0
